Month, Day, Time, Unit, Offset, Freq, Delay
May,11,11:20:52,phc2sys[44271]:,23,-45309,1037
May,11,11:21:01,phc2sys[45148]:,-1128331,-45307,1037
May,11,11:21:02,phc2sys[45148]:,-1125571,-42547,1055
May,11,11:21:03,phc2sys[45148]:,-30,-42577,1037
May,11,11:21:04,phc2sys[45148]:,-4,-42560,1037
May,11,11:21:05,phc2sys[45148]:,-19,-42576,1055
May,11,11:21:06,phc2sys[45148]:,-40,-42603,1037
May,11,11:21:07,phc2sys[45148]:,7,-42568,1037
May,11,11:21:08,phc2sys[45148]:,-37,-42610,1055
May,11,11:21:09,phc2sys[45148]:,-24,-42608,1055
May,11,11:21:10,phc2sys[45148]:,32,-42559,1037
May,11,11:21:11,phc2sys[45148]:,-54,-42636,1037
May,11,11:21:12,phc2sys[45148]:,-40,-42638,1037
May,11,11:21:13,phc2sys[45148]:,18,-42592,1037
May,11,11:21:14,phc2sys[45148]:,19,-42585,1055
May,11,11:21:15,phc2sys[45148]:,-36,-42635,1055
May,11,11:21:16,phc2sys[45148]:,1004128,+961518,1054
May,11,11:21:17,phc2sys[45148]:,81203,+339832,1037
May,11,11:21:18,phc2sys[45148]:,-304101,-21111,1037
May,11,11:21:19,phc2sys[45148]:,-328359,-136600,1037
May,11,11:21:20,phc2sys[45148]:,-237033,-143781,1037
May,11,11:21:21,phc2sys[45148]:,-138603,-116461,1037
May,11,11:21:22,phc2sys[45148]:,-67432,-86871,1055
May,11,11:21:23,phc2sys[45148]:,-25896,-65565,1037
May,11,11:21:24,phc2sys[45148]:,-5963,-53400,1037
May,11,11:21:25,phc2sys[45148]:,1949,-47277,1037
May,11,11:21:26,phc2sys[45148]:,3907,-44735,1037
May,11,11:21:27,phc2sys[45148]:,3281,-44189,1037
May,11,11:21:28,phc2sys[45148]:,2128,-44357,1055
May,11,11:21:29,phc2sys[45148]:,1186,-44661,1037
May,11,11:21:30,phc2sys[45148]:,523,-44968,1055
May,11,11:21:31,phc2sys[45148]:,177,-45157,1055
May,11,11:21:32,phc2sys[45148]:,37,-45244,1037
