Month, Day, Time, Unit, Offset, Freq, Delay
May,10,21:28:22,phc2sys[1545]:,-600932,-46535,1055
May,10,21:28:23,phc2sys[1545]:,-521125,+33257,1056
May,10,21:28:24,phc2sys[1545]:,50,+33307,1055
May,10,21:28:25,phc2sys[1545]:,10,+33282,1037
May,10,21:28:26,phc2sys[1545]:,-12,+33263,1037
May,10,21:28:27,phc2sys[1545]:,-7,+33265,1056
May,10,21:28:28,phc2sys[1545]:,-53587,-20317,1037
May,10,21:28:29,phc2sys[1545]:,-78948,-61754,1037
May,10,21:28:30,phc2sys[1545]:,-62912,-69403,1037
May,10,21:28:31,phc2sys[1545]:,-39160,-64524,1037
May,10,21:28:32,phc2sys[1545]:,-20353,-57465,1037
May,10,21:28:33,phc2sys[1545]:,-8564,-51782,1055
May,10,21:28:34,phc2sys[1545]:,-2444,-48232,1037
May,10,21:28:35,phc2sys[1545]:,47,-46474,1037
May,10,21:28:36,phc2sys[1545]:,852,-45655,1055
May,10,21:28:37,phc2sys[1545]:,161526,+115275,1037
May,10,21:28:38,phc2sys[1545]:,34900,+37107,1055
May,10,21:28:39,phc2sys[1545]:,-47953,-35276,1037
May,10,21:28:40,phc2sys[1545]:,-58354,-60063,1055
May,10,21:28:41,phc2sys[1545]:,-44047,-63262,1037
May,10,21:28:42,phc2sys[1545]:,-26424,-58853,1037
May,10,21:28:43,phc2sys[1545]:,-13332,-53689,1037
May,10,21:28:44,phc2sys[1545]:,-5322,-49678,1055
May,10,21:28:45,phc2sys[1545]:,-1336,-47289,1037
May,10,21:28:46,phc2sys[1545]:,303,-46051,1037
May,10,21:28:47,phc2sys[1545]:,728,-45535,1037
May,10,21:28:48,phc2sys[1545]:,605,-45439,1055
May,10,21:28:49,phc2sys[1545]:,414,-45449,1037
May,10,21:28:50,phc2sys[1545]:,200,-45539,1037
May,10,21:28:51,phc2sys[1545]:,96,-45583,1037
May,10,21:28:52,phc2sys[1545]:,37,-45613,1037
May,10,21:28:53,phc2sys[1545]:,56,-45583,1037
May,10,21:28:54,phc2sys[1545]:,12,-45610,1037
May,10,21:28:55,phc2sys[1545]:,-26,-45644,1037
May,10,21:28:56,phc2sys[1545]:,48,-45578,1037
