Month, Day, Time, Unit, Offset, Freq, Delay
May,10,17:19:42,phc2sys[70840]:,13,-44186,1055
May,10,17:19:51,phc2sys[71356]:,-26950643,-44184,1036
May,10,17:19:52,phc2sys[71356]:,-26115657,+790023,1037
May,10,17:19:53,phc2sys[71356]:,-10,+790013,1054
May,10,17:19:54,phc2sys[71356]:,-30,+789990,1037
May,10,17:19:55,phc2sys[71356]:,-10,+790001,1036
May,10,17:19:56,phc2sys[71356]:,-7,+790001,1054
May,10,17:19:57,phc2sys[71356]:,-361057,+428949,1037
May,10,17:19:58,phc2sys[71356]:,-834285,-152596,1037
May,10,17:19:59,phc2sys[71356]:,-725877,-294474,1037
May,10,17:20:00,phc2sys[71356]:,-475600,-261960,1037
May,10,17:20:01,phc2sys[71356]:,-257851,-186891,1037
May,10,17:20:02,phc2sys[71356]:,-115108,-121503,1055
May,10,17:20:03,phc2sys[71356]:,-37836,-78763,1037
May,10,17:20:04,phc2sys[71356]:,-3291,-55569,1037
May,10,17:20:05,phc2sys[71356]:,8110,-45156,1055
May,10,17:20:06,phc2sys[71356]:,16935378,+16884545,1014
May,10,17:20:07,phc2sys[71356]:,5427502,+10457283,1037
May,10,17:20:08,phc2sys[71356]:,-5211197,+1446834,1055
May,10,17:20:09,phc2sys[71356]:,-6702424,-1607752,1037
May,10,17:20:10,phc2sys[71356]:,-5138756,-2054811,1037
May,10,17:20:11,phc2sys[71356]:,-3127953,-1585635,1037
May,10,17:20:12,phc2sys[71356]:,-1586354,-982422,1037
May,10,17:20:13,phc2sys[71356]:,-648002,-519976,1037
May,10,17:20:14,phc2sys[71356]:,-172189,-238563,1037
May,10,17:20:15,phc2sys[71356]:,22193,-95838,1037
May,10,17:20:16,phc2sys[71356]:,73824,-37549,1037
May,10,17:20:17,phc2sys[71356]:,67106,-22120,1037
May,10,17:20:18,phc2sys[71356]:,45042,-24052,1037
May,10,17:20:19,phc2sys[71356]:,24872,-30710,1055
May,10,17:20:20,phc2sys[71356]:,11368,-36752,1037
May,10,17:20:21,phc2sys[71356]:,3940,-40770,1037
May,10,17:20:22,phc2sys[71356]:,497,-43031,1055
May,10,17:20:23,phc2sys[71356]:,-746,-44124,1037
May,10,17:20:24,phc2sys[71356]:,-842,-44444,1037
May,10,17:20:25,phc2sys[71356]:,-621,-44476,1055
May,10,17:20:26,phc2sys[71356]:,-356,-44397,1037
May,10,17:20:27,phc2sys[71356]:,-202,-44350,1037
May,10,17:20:28,phc2sys[71356]:,-81,-44290,1037
May,10,17:20:29,phc2sys[71356]:,-20,-44253,1038
May,10,17:20:30,phc2sys[71356]:,-9,-44248,1037
May,10,17:20:31,phc2sys[71356]:,-31,-44273,1018
May,10,17:20:32,phc2sys[71356]:,9,-44242,1056
May,10,17:20:33,phc2sys[71356]:,-21,-44269,1037
May,10,17:20:34,phc2sys[71356]:,1,-44253,1037
May,10,17:20:35,phc2sys[71356]:,47,-44207,1037
May,10,17:20:36,phc2sys[71356]:,10,-44230,1037
May,10,17:20:37,phc2sys[71356]:,-6,-44243,1037
May,10,17:20:38,phc2sys[71356]:,-7,-44246,1055
May,10,17:20:39,phc2sys[71356]:,-2,-44243,1037
May,10,17:20:40,phc2sys[71356]:,35,-44207,1037
May,10,17:20:41,phc2sys[71356]:,34,-44197,1037
May,10,17:20:42,phc2sys[71356]:,23,-44198,1037
May,10,17:20:43,phc2sys[71356]:,-37,-44251,1037
May,10,17:20:44,phc2sys[71356]:,-1,-44226,1037
May,10,17:20:45,phc2sys[71356]:,-15,-44240,1037
May,10,17:20:46,phc2sys[71356]:,5,-44225,1037
May,10,17:20:47,phc2sys[71356]:,5,-44223,1037
May,10,17:20:48,phc2sys[71356]:,37,-44190,1037
May,10,17:20:49,phc2sys[71356]:,-5,-44221,1037
May,10,17:20:50,phc2sys[71356]:,-3,-44220,1037
May,10,17:20:51,phc2sys[71356]:,-20,-44238,1055
May,10,17:20:52,phc2sys[71356]:,-17,-44241,1037
May,10,17:20:53,phc2sys[71356]:,49,-44180,1055
May,10,17:20:54,phc2sys[71356]:,-500,-44715,1037
May,10,17:20:55,phc2sys[71356]:,-437,-44802,1037
May,10,17:20:56,phc2sys[71356]:,165,-44331,1037
May,10,17:20:57,phc2sys[71356]:,347,-44099,1037
May,10,17:20:58,phc2sys[71356]:,196,-44146,1037
May,10,17:20:59,phc2sys[71356]:,190,-44093,1055
May,10,17:21:00,phc2sys[71356]:,81,-44145,1037
May,10,17:21:01,phc2sys[71356]:,36,-44166,1037
May,10,17:21:02,phc2sys[71356]:,142,-44049,1037
May,10,17:21:03,phc2sys[71356]:,272,-43877,1055
May,10,17:21:04,phc2sys[71356]:,146,-43921,1037
May,10,17:21:05,phc2sys[71356]:,101,-43922,1037
May,10,17:21:06,phc2sys[71356]:,-101,-44094,1037
May,10,17:21:07,phc2sys[71356]:,-169,-44192,1055
May,10,17:21:08,phc2sys[71356]:,-160,-44234,1037
May,10,17:21:09,phc2sys[71356]:,-115,-44237,1037
May,10,17:21:10,phc2sys[71356]:,-164,-44320,1037
May,10,17:21:11,phc2sys[71356]:,-200,-44406,1037
May,10,17:21:12,phc2sys[71356]:,-120,-44386,1055
May,10,17:21:13,phc2sys[71356]:,-116,-44418,1055
May,10,17:21:14,phc2sys[71356]:,-21,-44357,1037
May,10,17:21:15,phc2sys[71356]:,48,-44295,1055
May,10,17:21:16,phc2sys[71356]:,173,-44155,1055
May,10,17:21:17,phc2sys[71356]:,139,-44137,1037
May,10,17:21:18,phc2sys[71356]:,29,-44206,1037
May,10,17:21:19,phc2sys[71356]:,-92,-44318,1037
May,10,17:21:20,phc2sys[71356]:,-75,-44329,1018
May,10,17:21:21,phc2sys[71356]:,-11,-44287,1037
May,10,17:21:22,phc2sys[71356]:,-11,-44290,1037
May,10,17:21:23,phc2sys[71356]:,-13,-44296,1037
May,10,17:21:24,phc2sys[71356]:,12,-44275,1056
May,10,17:21:25,phc2sys[71356]:,7,-44276,1037
May,10,17:21:26,phc2sys[71356]:,51,-44230,1055
May,10,17:21:27,phc2sys[71356]:,66,-44200,1037
May,10,17:21:28,phc2sys[71356]:,53,-44193,1037
May,10,17:21:29,phc2sys[71356]:,60,-44170,1148
May,10,17:21:30,phc2sys[71356]:,-63,-44275,1037
May,10,17:21:31,phc2sys[71356]:,-20,-44251,1037
May,10,17:21:32,phc2sys[71356]:,0,-44237,1037
May,10,17:21:33,phc2sys[71356]:,51,-44186,1037
May,10,17:21:34,phc2sys[71356]:,-31,-44252,1037
May,10,17:21:35,phc2sys[71356]:,14,-44217,1055
May,10,17:21:36,phc2sys[71356]:,46,-44181,1037
May,10,17:21:37,phc2sys[71356]:,-20,-44233,1037
May,10,17:21:38,phc2sys[71356]:,21,-44198,1037
May,10,17:21:39,phc2sys[71356]:,-28,-44240,1055
May,10,17:21:40,phc2sys[71356]:,-35,-44256,1037
May,10,17:21:41,phc2sys[71356]:,43,-44188,1037
May,10,17:21:42,phc2sys[71356]:,36,-44182,1037
May,10,17:21:43,phc2sys[71356]:,48,-44160,1037
May,10,17:21:44,phc2sys[71356]:,-1,-44194,1055
May,10,17:21:45,phc2sys[71356]:,30,-44164,1055
May,10,17:21:46,phc2sys[71356]:,-35,-44220,1056
May,10,17:21:47,phc2sys[71356]:,31,-44164,1037
May,10,17:21:48,phc2sys[71356]:,-6,-44192,1037
May,10,17:21:49,phc2sys[71356]:,35,-44153,1055
May,10,17:21:50,phc2sys[71356]:,-44,-44221,1055
May,10,17:21:51,phc2sys[71356]:,-15,-44205,1055
May,10,17:21:52,phc2sys[71356]:,-72,-44267,1055
May,10,17:21:53,phc2sys[71356]:,10,-44206,1055
May,10,17:21:54,phc2sys[71356]:,1,-44212,1037
May,10,17:21:55,phc2sys[71356]:,-41,-44254,1037
May,10,17:21:56,phc2sys[71356]:,-13,-44238,1055
May,10,17:21:57,phc2sys[71356]:,7,-44222,1056
May,10,17:21:58,phc2sys[71356]:,69,-44158,1037
May,10,17:21:59,phc2sys[71356]:,62,-44144,1037
May,10,17:22:00,phc2sys[71356]:,3,-44185,1037
May,10,17:22:01,phc2sys[71356]:,33,-44154,1037
May,10,17:22:02,phc2sys[71356]:,61,-44116,1037
May,10,17:22:03,phc2sys[71356]:,-4,-44163,1037
May,10,17:22:04,phc2sys[71356]:,20,-44140,1055
May,10,17:22:05,phc2sys[71356]:,-31,-44185,1055
May,10,17:22:06,phc2sys[71356]:,134,-44029,1037
May,10,17:22:07,phc2sys[71356]:,144,-43979,1055
May,10,17:22:08,phc2sys[71356]:,135,-43945,1037
May,10,17:22:09,phc2sys[71356]:,-91,-44130,1037
May,10,17:22:10,phc2sys[71356]:,-141,-44208,1037
May,10,17:22:11,phc2sys[71356]:,-89,-44198,1037
May,10,17:22:12,phc2sys[71356]:,-99,-44235,1037
May,10,17:22:13,phc2sys[71356]:,-65,-44230,1037
May,10,17:22:14,phc2sys[71356]:,154,-44031,1037
May,10,17:22:15,phc2sys[71356]:,148,-43991,1037
May,10,17:22:16,phc2sys[71356]:,120,-43974,1037
May,10,17:22:17,phc2sys[71356]:,52,-44006,1037
May,10,17:22:18,phc2sys[71356]:,-107,-44150,1055
May,10,17:22:19,phc2sys[71356]:,-146,-44221,1037
May,10,17:22:20,phc2sys[71356]:,-93,-44212,1037
May,10,17:22:21,phc2sys[71356]:,-23,-44169,1055
May,10,17:22:22,phc2sys[71356]:,-30,-44183,1037
May,10,17:22:23,phc2sys[71356]:,-48,-44210,1037
May,10,17:22:24,phc2sys[71356]:,-16,-44193,1055
May,10,17:22:25,phc2sys[71356]:,39,-44143,1037
May,10,17:22:26,phc2sys[71356]:,-3,-44173,1037
May,10,17:22:27,phc2sys[71356]:,28,-44143,1037
May,10,17:22:28,phc2sys[71356]:,-33,-44195,1037
May,10,17:22:29,phc2sys[71356]:,-14,-44186,1055
May,10,17:22:30,phc2sys[71356]:,31,-44145,1037
May,10,17:22:31,phc2sys[71356]:,-20,-44187,1037
May,10,17:22:32,phc2sys[71356]:,6,-44167,1037
May,10,17:22:33,phc2sys[71356]:,-2,-44173,1037
May,10,17:22:34,phc2sys[71356]:,-31,-44203,1037
May,10,17:22:35,phc2sys[71356]:,-1,-44182,1055
May,10,17:22:36,phc2sys[71356]:,9,-44173,1037
May,10,17:22:37,phc2sys[71356]:,-31,-44210,1055
May,10,17:22:38,phc2sys[71356]:,-37,-44225,1056
May,10,17:22:39,phc2sys[71356]:,-142,-44341,1037
May,10,17:22:40,phc2sys[71356]:,-78,-44320,1037
May,10,17:22:41,phc2sys[71356]:,-39,-44304,1037
May,10,17:22:42,phc2sys[71356]:,20,-44257,1037
May,10,17:22:43,phc2sys[71356]:,95,-44176,1037
May,10,17:22:44,phc2sys[71356]:,128,-44114,1038
May,10,17:22:45,phc2sys[71356]:,56,-44148,1037
May,10,17:22:46,phc2sys[71356]:,-106,-44293,1038
May,10,17:22:47,phc2sys[71356]:,-137,-44356,1037
May,10,17:22:48,phc2sys[71356]:,-146,-44406,1037
May,10,17:22:49,phc2sys[71356]:,-78,-44382,1037
May,10,17:22:50,phc2sys[71356]:,92,-44235,1037
May,10,17:22:51,phc2sys[71356]:,178,-44122,1037
May,10,17:22:52,phc2sys[71356]:,78,-44168,1037
May,10,17:22:53,phc2sys[71356]:,93,-44130,1055
May,10,17:22:54,phc2sys[71356]:,-52,-44247,1037
May,10,17:22:55,phc2sys[71356]:,-104,-44315,1055
May,10,17:22:56,phc2sys[71356]:,-85,-44327,1037
