Month, Day, Time, Unit, Offset, Freq, Delay
May,13,08:25:58,phc2sys[145159]:,-40,-44105,1000
May,13,08:26:06,phc2sys[181100]:,-751781,-44104,1019
May,13,08:26:07,phc2sys[181100]:,-963848,-256175,982
May,13,08:26:08,phc2sys[181100]:,-25,-256200,1000
May,13,08:26:09,phc2sys[181100]:,19186,-236996,1000
May,13,08:26:10,phc2sys[181100]:,212077,-38349,981
May,13,08:26:11,phc2sys[181100]:,206318,+19515,1000
May,13,08:26:12,phc2sys[181100]:,142688,+17780,981
May,13,08:26:13,phc2sys[181100]:,80795,-1306,982
May,13,08:26:14,phc2sys[181100]:,37994,-19869,981
May,13,08:26:15,phc2sys[181100]:,13716,-32749,981
May,13,08:26:16,phc2sys[181100]:,2345,-40005,1000
May,13,08:26:17,phc2sys[181100]:,-1781,-43427,981
May,13,08:26:18,phc2sys[181100]:,-2543,-44724,1000
May,13,08:26:19,phc2sys[181100]:,-1919,-44863,982
May,13,08:26:20,phc2sys[181100]:,-1270,-44789,981
May,13,08:26:21,phc2sys[181100]:,-600,-44500,1000
May,13,08:26:22,phc2sys[181100]:,1125439,+1081359,980
May,13,08:26:23,phc2sys[181100]:,238179,+531730,981
May,13,08:26:24,phc2sys[181100]:,-337926,+27079,982
May,13,08:26:25,phc2sys[181100]:,-409259,-145632,981
May,13,08:26:26,phc2sys[181100]:,-307947,-167097,981
May,13,08:26:27,phc2sys[181100]:,-185124,-136659,981
May,13,08:26:28,phc2sys[181100]:,-92733,-99805,982
May,13,08:26:29,phc2sys[181100]:,-37256,-72148,982
May,13,08:26:30,phc2sys[181100]:,-9515,-55583,1000
May,13,08:26:31,phc2sys[181100]:,1604,-47319,1000
May,13,08:26:32,phc2sys[181100]:,4449,-43993,1000
May,13,08:26:33,phc2sys[181100]:,3923,-43184,1000
May,13,08:26:34,phc2sys[181100]:,2647,-43283,981
May,13,08:26:35,phc2sys[181100]:,1430,-43706,1000
May,13,08:26:36,phc2sys[181100]:,593,-44114,1000
May,13,08:26:37,phc2sys[181100]:,187,-44342,1037
May,13,08:26:38,phc2sys[181100]:,139,-44334,1000
May,13,08:26:39,phc2sys[181100]:,84,-44347,982
May,13,08:26:40,phc2sys[181100]:,78,-44328,1000
May,13,08:26:41,phc2sys[181100]:,37,-44346,1000
May,13,08:26:42,phc2sys[181100]:,22,-44350,1000
May,13,08:26:43,phc2sys[181100]:,-16,-44381,1000
May,13,08:26:44,phc2sys[181100]:,-17,-44387,1000
May,13,08:26:45,phc2sys[181100]:,-31,-44406,981
May,13,08:26:46,phc2sys[181100]:,-482,-44866,1000
May,13,08:26:47,phc2sys[181100]:,-561,-45090,1000
May,13,08:26:48,phc2sys[181100]:,-456,-45153,1037
May,13,08:26:49,phc2sys[181100]:,-325,-45159,1000
May,13,08:26:50,phc2sys[181100]:,300,-44631,981
May,13,08:26:51,phc2sys[181100]:,558,-44283,1000
May,13,08:26:52,phc2sys[181100]:,536,-44138,1000
May,13,08:26:53,phc2sys[181100]:,278,-44235,982
May,13,08:26:54,phc2sys[181100]:,-58,-44488,981
May,13,08:26:55,phc2sys[181100]:,-256,-44703,1000
May,13,08:26:56,phc2sys[181100]:,-222,-44746,982
May,13,08:26:57,phc2sys[181100]:,-171,-44762,981
May,13,08:26:58,phc2sys[181100]:,-64,-44706,982
May,13,08:26:59,phc2sys[181100]:,-86,-44747,1037
May,13,08:27:00,phc2sys[181100]:,-5,-44692,982
May,13,08:27:01,phc2sys[181100]:,-16,-44704,981
May,13,08:27:02,phc2sys[181100]:,105,-44588,1000
May,13,08:27:03,phc2sys[181100]:,133,-44529,982
May,13,08:27:04,phc2sys[181100]:,50,-44572,1000
May,13,08:27:05,phc2sys[181100]:,74,-44533,1000
May,13,08:27:06,phc2sys[181100]:,-11,-44596,1000
May,13,08:27:07,phc2sys[181100]:,49,-44539,981
May,13,08:27:08,phc2sys[181100]:,-38,-44611,1000
May,13,08:27:09,phc2sys[181100]:,-16,-44601,982
May,13,08:27:10,phc2sys[181100]:,3,-44586,1037
May,13,08:27:11,phc2sys[181100]:,-67,-44656,1000
May,13,08:27:12,phc2sys[181100]:,7,-44602,1000
May,13,08:27:13,phc2sys[181100]:,-25,-44632,1000
May,13,08:27:14,phc2sys[181100]:,10,-44604,981
May,13,08:27:15,phc2sys[181100]:,22,-44589,982
May,13,08:27:16,phc2sys[181100]:,-54,-44658,1000
May,13,08:27:17,phc2sys[181100]:,14,-44607,981
May,13,08:27:18,phc2sys[181100]:,-47,-44663,981
May,13,08:27:19,phc2sys[181100]:,28,-44603,981
May,13,08:27:20,phc2sys[181100]:,39,-44583,981
May,13,08:27:21,phc2sys[181100]:,5,-44605,1000
May,13,08:27:22,phc2sys[181100]:,-32,-44641,981
May,13,08:27:23,phc2sys[181100]:,-33,-44652,981
May,13,08:27:24,phc2sys[181100]:,23,-44605,1000
May,13,08:27:25,phc2sys[181100]:,9,-44613,982
May,13,08:27:26,phc2sys[181100]:,-27,-44646,1037
May,13,08:27:27,phc2sys[181100]:,-23,-44650,1000
May,13,08:27:28,phc2sys[181100]:,-51,-44685,1000
May,13,08:27:29,phc2sys[181100]:,-30,-44679,981
May,13,08:27:30,phc2sys[181100]:,-45,-44703,982
May,13,08:27:31,phc2sys[181100]:,27,-44645,981
May,13,08:27:32,phc2sys[181100]:,-17,-44681,981
May,13,08:27:33,phc2sys[181100]:,-32,-44701,982
May,13,08:27:34,phc2sys[181100]:,24,-44654,1000
May,13,08:27:35,phc2sys[181100]:,36,-44635,1000
May,13,08:27:36,phc2sys[181100]:,13,-44647,981
May,13,08:27:37,phc2sys[181100]:,-40,-44696,1038
May,13,08:27:38,phc2sys[181100]:,-10,-44678,1000
May,13,08:27:39,phc2sys[181100]:,-46,-44717,981
May,13,08:27:40,phc2sys[181100]:,-23,-44708,982
May,13,08:27:41,phc2sys[181100]:,34,-44658,981
May,13,08:27:42,phc2sys[181100]:,13,-44669,1000
May,13,08:27:43,phc2sys[181100]:,-54,-44732,1037
May,13,08:27:44,phc2sys[181100]:,-35,-44729,1037
May,13,08:27:45,phc2sys[181100]:,-37,-44742,981
May,13,08:27:46,phc2sys[181100]:,-43,-44759,1000
May,13,08:27:47,phc2sys[181100]:,-73,-44802,981
May,13,08:27:48,phc2sys[181100]:,2,-44749,981
May,13,08:27:49,phc2sys[181100]:,32,-44718,981
May,13,08:27:50,phc2sys[181100]:,38,-44702,1000
May,13,08:27:51,phc2sys[181100]:,16,-44713,981
May,13,08:27:52,phc2sys[181100]:,13,-44711,981
May,13,08:27:53,phc2sys[181100]:,-51,-44771,981
May,13,08:27:54,phc2sys[181100]:,3,-44733,1000
May,13,08:27:55,phc2sys[181100]:,90,-44645,1037
May,13,08:27:56,phc2sys[181100]:,11,-44697,1055
May,13,08:27:57,phc2sys[181100]:,-18,-44722,981
May,13,08:27:58,phc2sys[181100]:,-34,-44744,1000
May,13,08:27:59,phc2sys[181100]:,-80,-44800,1000
May,13,08:28:00,phc2sys[181100]:,3,-44741,982
May,13,08:28:01,phc2sys[181100]:,11,-44732,982
May,13,08:28:02,phc2sys[181100]:,15,-44725,1037
May,13,08:28:03,phc2sys[181100]:,3,-44732,1037
May,13,08:28:04,phc2sys[181100]:,-48,-44782,981
May,13,08:28:05,phc2sys[181100]:,-25,-44774,981
May,13,08:28:06,phc2sys[181100]:,-23,-44779,981
May,13,08:28:07,phc2sys[181100]:,30,-44733,981
May,13,08:28:08,phc2sys[181100]:,1,-44753,981
May,13,08:28:09,phc2sys[181100]:,-31,-44785,1000
May,13,08:28:10,phc2sys[181100]:,48,-44715,981
May,13,08:28:11,phc2sys[181100]:,-28,-44777,1000
May,13,08:28:12,phc2sys[181100]:,6,-44751,1000
May,13,08:28:13,phc2sys[181100]:,-72,-44827,1000
May,13,08:28:14,phc2sys[181100]:,37,-44740,1037
May,13,08:28:15,phc2sys[181100]:,-31,-44797,981
May,13,08:28:16,phc2sys[181100]:,-68,-44843,981
May,13,08:28:17,phc2sys[181100]:,22,-44774,1000
May,13,08:28:18,phc2sys[181100]:,-4,-44793,1000
May,13,08:28:19,phc2sys[181100]:,-20,-44810,981
May,13,08:28:20,phc2sys[181100]:,-65,-44861,981
May,13,08:28:21,phc2sys[181100]:,15,-44801,1000
May,13,08:28:22,phc2sys[181100]:,23,-44788,982
May,13,08:28:23,phc2sys[181100]:,9,-44795,1000
May,13,08:28:24,phc2sys[181100]:,9,-44793,1000
May,13,08:28:25,phc2sys[181100]:,47,-44752,1055
May,13,08:28:26,phc2sys[181100]:,-27,-44812,1037
May,13,08:28:27,phc2sys[181100]:,-12,-44805,1000
May,13,08:28:28,phc2sys[181100]:,-35,-44831,1000
May,13,08:28:29,phc2sys[181100]:,-11,-44818,1000
May,13,08:28:30,phc2sys[181100]:,-10,-44820,1000
May,13,08:28:31,phc2sys[181100]:,3,-44810,981
May,13,08:28:32,phc2sys[181100]:,24,-44788,1037
May,13,08:28:33,phc2sys[181100]:,-26,-44831,1056
