Month, Day, Time, Unit, Offset, Freq, Delay
May,11,02:28:49,phc2sys[1390]:,-9,-45498,1056
May,11,02:28:58,phc2sys[1551]:,-1734954,-45497,1037
May,11,02:28:59,phc2sys[1551]:,-1734802,-45345,1055
May,11,02:29:00,phc2sys[1551]:,-45,-45390,1056
May,11,02:29:01,phc2sys[1551]:,11,-45348,1037
May,11,02:29:02,phc2sys[1551]:,-64,-45419,1037
May,11,02:29:03,phc2sys[1551]:,-14,-45388,1037
May,11,02:29:04,phc2sys[1551]:,17,-45362,1037
May,11,02:29:05,phc2sys[1551]:,-40,-45414,1037
May,11,02:29:06,phc2sys[1551]:,-47,-45433,1055
May,11,02:29:07,phc2sys[1551]:,-9,-45409,1037
May,11,02:29:08,phc2sys[1551]:,0,-45402,1037
May,11,02:29:09,phc2sys[1551]:,32,-45370,1037
May,11,02:29:10,phc2sys[1551]:,-26,-45419,1037
May,11,02:29:11,phc2sys[1551]:,16,-45385,1037
May,11,02:29:12,phc2sys[1551]:,-19,-45415,1037
May,11,02:29:13,phc2sys[1551]:,1440542,+1395141,1035
May,11,02:29:14,phc2sys[1551]:,296606,+683367,1055
May,11,02:29:15,phc2sys[1551]:,-433016,+42727,1037
May,11,02:29:16,phc2sys[1551]:,-521146,-175308,1037
May,11,02:29:17,phc2sys[1551]:,-391275,-201781,1037
May,11,02:29:18,phc2sys[1551]:,-234884,-162772,1037
May,11,02:29:19,phc2sys[1551]:,-117516,-115869,1037
May,11,02:29:20,phc2sys[1551]:,-47069,-80677,1037
May,11,02:29:21,phc2sys[1551]:,-11901,-59630,1037
May,11,02:29:22,phc2sys[1551]:,2250,-49049,1055
May,11,02:29:23,phc2sys[1551]:,5863,-44761,1055
May,11,02:29:24,phc2sys[1551]:,5119,-43746,1037
May,11,02:29:25,phc2sys[1551]:,3381,-43949,1055
May,11,02:29:26,phc2sys[1551]:,1922,-44393,1037
May,11,02:29:27,phc2sys[1551]:,881,-44858,1037
May,11,02:29:28,phc2sys[1551]:,247,-45227,1037
May,11,02:29:29,phc2sys[1551]:,36,-45364,1037
May,11,02:29:30,phc2sys[1551]:,-50,-45439,1055
May,11,02:29:31,phc2sys[1551]:,-65,-45469,1037
May,11,02:29:32,phc2sys[1551]:,-110,-45534,1037
May,11,02:29:33,phc2sys[1551]:,-70,-45527,1037
May,11,02:29:34,phc2sys[1551]:,42,-45436,1055
May,11,02:29:35,phc2sys[1551]:,9,-45456,1037
May,11,02:29:36,phc2sys[1551]:,27,-45436,1037
May,11,02:29:37,phc2sys[1551]:,29,-45426,1037
May,11,02:29:38,phc2sys[1551]:,11,-45435,1037
May,11,02:29:39,phc2sys[1551]:,13,-45430,1037
May,11,02:29:40,phc2sys[1551]:,-14,-45453,1018
May,11,02:29:41,phc2sys[1551]:,27,-45416,1037
May,11,02:29:42,phc2sys[1551]:,4,-45431,1037
May,11,02:29:43,phc2sys[1551]:,-5,-45439,1037
May,11,02:29:44,phc2sys[1551]:,21,-45414,1037
May,11,02:29:45,phc2sys[1551]:,-12,-45441,1055
May,11,02:29:46,phc2sys[1551]:,73,-45359,1037
May,11,02:29:47,phc2sys[1551]:,-15,-45425,1037
May,11,02:29:48,phc2sys[1551]:,43,-45372,1037
May,11,02:29:49,phc2sys[1551]:,1,-45401,1055
May,11,02:29:50,phc2sys[1551]:,4,-45398,1037
May,11,02:29:51,phc2sys[1551]:,40,-45361,1037
May,11,02:29:52,phc2sys[1551]:,-16,-45405,1037
May,11,02:29:53,phc2sys[1551]:,-105,-45498,1055
May,11,02:29:54,phc2sys[1551]:,-97,-45522,1037
May,11,02:29:55,phc2sys[1551]:,-78,-45532,1055
