Month, Day, Time, Unit, Offset, Freq, Delay
May,12,23:44:23,phc2sys[145135]:,2,-44864,1037
May,12,23:44:32,phc2sys[145159]:,-1223289,-44862,1037
May,12,23:44:33,phc2sys[145159]:,-1223314,-44887,1055
May,12,23:44:34,phc2sys[145159]:,-55,-44942,1055
May,12,23:44:35,phc2sys[145159]:,-13,-44916,1037
May,12,23:44:36,phc2sys[145159]:,-12,-44919,1037
May,12,23:44:37,phc2sys[145159]:,-28,-44939,1037
May,12,23:44:38,phc2sys[145159]:,49,-44870,1055
May,12,23:44:39,phc2sys[145159]:,-12,-44917,1037
May,12,23:44:40,phc2sys[145159]:,-11,-44919,1037
May,12,23:44:41,phc2sys[145159]:,-51,-44963,1037
May,12,23:44:42,phc2sys[145159]:,-16,-44943,1037
May,12,23:44:43,phc2sys[145159]:,57,-44875,1037
May,12,23:44:44,phc2sys[145159]:,19,-44896,1055
May,12,23:44:45,phc2sys[145159]:,-2,-44911,1055
May,12,23:44:46,phc2sys[145159]:,-5,-44914,1037
May,12,23:44:47,phc2sys[145159]:,1091240,+1046329,1035
May,12,23:44:48,phc2sys[145159]:,133051,+415512,1055
May,12,23:44:49,phc2sys[145159]:,-327983,-5607,1037
May,12,23:44:50,phc2sys[145159]:,-367307,-143326,1037
May,12,23:44:51,phc2sys[145159]:,-268859,-155070,1037
May,12,23:44:52,phc2sys[145159]:,-158712,-125580,1055
May,12,23:44:53,phc2sys[145159]:,-78067,-92549,1037
May,12,23:44:54,phc2sys[145159]:,-30432,-68334,1055
May,12,23:44:55,phc2sys[145159]:,-6921,-53953,1037
May,12,23:44:56,phc2sys[145159]:,2162,-46946,1037
May,12,23:44:57,phc2sys[145159]:,4280,-44179,1055
May,12,23:44:58,phc2sys[145159]:,3585,-43590,1037
May,12,23:44:59,phc2sys[145159]:,2238,-43862,1037
May,12,23:45:00,phc2sys[145159]:,1194,-44234,1037
May,12,23:45:01,phc2sys[145159]:,544,-44526,1037
May,12,23:45:02,phc2sys[145159]:,161,-44746,1055
May,12,23:45:03,phc2sys[145159]:,-62,-44921,1018
May,12,23:45:04,phc2sys[145159]:,-103,-44980,1037
May,12,23:45:05,phc2sys[145159]:,-106,-45014,1037
May,12,23:45:06,phc2sys[145159]:,-28,-44968,1037
May,12,23:45:07,phc2sys[145159]:,-34,-44982,1037
May,12,23:45:08,phc2sys[145159]:,-1,-44960,1037
May,12,23:45:09,phc2sys[145159]:,18,-44941,1037
May,12,23:45:10,phc2sys[145159]:,89,-44865,1037
May,12,23:45:11,phc2sys[145159]:,75,-44852,1037
May,12,23:45:12,phc2sys[145159]:,114,-44790,1037
May,12,23:45:13,phc2sys[145159]:,59,-44811,1037
May,12,23:45:14,phc2sys[145159]:,34,-44818,1037
May,12,23:45:15,phc2sys[145159]:,-15,-44857,1037
May,12,23:45:16,phc2sys[145159]:,19,-44828,1055
May,12,23:45:17,phc2sys[145159]:,-53,-44894,1037
May,12,23:45:18,phc2sys[145159]:,-62,-44919,1037
May,12,23:45:19,phc2sys[145159]:,9,-44867,1037
May,12,23:45:20,phc2sys[145159]:,-27,-44900,1055
May,12,23:45:21,phc2sys[145159]:,-53,-44934,1037
May,12,23:45:22,phc2sys[145159]:,-21,-44918,1055
May,12,23:45:23,phc2sys[145159]:,21,-44882,1037
May,12,23:45:24,phc2sys[145159]:,36,-44861,1037
May,12,23:45:25,phc2sys[145159]:,-43,-44929,1037
May,12,23:45:26,phc2sys[145159]:,-7,-44906,1037
May,12,23:45:27,phc2sys[145159]:,-23,-44924,1037
May,12,23:45:28,phc2sys[145159]:,8,-44900,1055
May,12,23:45:29,phc2sys[145159]:,56,-44850,1056
May,12,23:45:30,phc2sys[145159]:,-12,-44901,1037
May,12,23:45:31,phc2sys[145159]:,-4,-44896,1055
May,12,23:45:32,phc2sys[145159]:,-13,-44907,1037
May,12,23:45:33,phc2sys[145159]:,-17,-44914,1055
May,12,23:45:34,phc2sys[145159]:,8,-44895,1037
May,12,23:45:35,phc2sys[145159]:,27,-44873,1055
May,12,23:45:36,phc2sys[145159]:,-5,-44897,1037
May,12,23:45:37,phc2sys[145159]:,-53,-44947,1055
May,12,23:45:38,phc2sys[145159]:,5,-44904,1055
May,12,23:45:39,phc2sys[145159]:,-3,-44911,1037
May,12,23:45:40,phc2sys[145159]:,4,-44905,1055
May,12,23:45:41,phc2sys[145159]:,38,-44870,1037
May,12,23:45:42,phc2sys[145159]:,-7,-44903,1037
May,12,23:45:43,phc2sys[145159]:,21,-44877,1037
May,12,23:45:44,phc2sys[145159]:,-27,-44919,1055
May,12,23:45:45,phc2sys[145159]:,-56,-44956,1037
May,12,23:45:46,phc2sys[145159]:,48,-44869,1037
May,12,23:45:47,phc2sys[145159]:,-34,-44937,1037
May,12,23:45:48,phc2sys[145159]:,25,-44888,1037
May,12,23:45:49,phc2sys[145159]:,-19,-44924,1037
May,12,23:45:50,phc2sys[145159]:,41,-44870,1037
