Month, Day, Time, Unit, Offset, Freq, Delay
May,11,23:56:11,phc2sys[1241]:,-37122575828,+0,1037
May,11,23:56:12,phc2sys[1241]:,-37122624256,-48425,1037
May,11,23:56:13,phc2sys[1241]:,-1287,-49712,1037
May,11,23:56:14,phc2sys[1241]:,52,-48759,1018
May,11,23:56:15,phc2sys[1241]:,386,-48410,1037
May,11,23:56:16,phc2sys[1241]:,421,-48259,1037
May,11,23:56:17,phc2sys[1241]:,253,-48301,1037
May,11,23:56:18,phc2sys[1241]:,144,-48334,1055
May,11,23:56:19,phc2sys[1241]:,54,-48380,1037
May,11,23:56:20,phc2sys[1241]:,9,-48409,1055
May,11,23:56:21,phc2sys[1241]:,1,-48415,1037
May,11,23:56:22,phc2sys[1241]:,-4,-48419,1037
May,11,23:56:23,phc2sys[1241]:,-8,-48424,1037
May,11,23:56:24,phc2sys[1241]:,-13,-48432,1055
May,11,23:56:25,phc2sys[1241]:,31,-48392,1037
May,11,23:56:26,phc2sys[1241]:,775,-47638,1037
May,11,23:56:27,phc2sys[1241]:,680325,+632144,1036
May,11,23:56:28,phc2sys[1241]:,149154,+305071,1037
May,11,23:56:29,phc2sys[1241]:,-201523,-860,1037
May,11,23:56:30,phc2sys[1241]:,-246197,-105991,1037
May,11,23:56:31,phc2sys[1241]:,-185784,-119437,1000
May,11,23:56:32,phc2sys[1241]:,-111920,-101308,1000
May,11,23:56:33,phc2sys[1241]:,-56110,-79074,982
May,11,23:56:34,phc2sys[1241]:,-22598,-62395,981
May,11,23:56:35,phc2sys[1241]:,-5330,-51907,982
May,11,23:56:36,phc2sys[1241]:,1527,-46649,1037
May,11,23:56:37,phc2sys[1241]:,3085,-44633,1037
May,11,23:56:38,phc2sys[1241]:,2659,-44133,1037
May,11,23:56:39,phc2sys[1241]:,1714,-44281,1037
May,11,23:56:40,phc2sys[1241]:,929,-44551,1037
May,11,23:56:41,phc2sys[1241]:,427,-44775,1037
May,11,23:56:42,phc2sys[1241]:,0,-45074,1037
May,11,23:56:43,phc2sys[1241]:,-341,-45415,1037
May,11,23:56:44,phc2sys[1241]:,-304,-45480,1055
May,11,23:56:45,phc2sys[1241]:,-274,-45541,1037
May,11,23:56:46,phc2sys[1241]:,-113,-45462,1037
May,11,23:56:47,phc2sys[1241]:,-39,-45422,1037
May,11,23:56:48,phc2sys[1241]:,-16,-45411,1038
May,11,23:56:49,phc2sys[1241]:,-62,-45462,1037
May,11,23:56:50,phc2sys[1241]:,32,-45386,1037
May,11,23:56:51,phc2sys[1241]:,3,-45406,1037
May,11,23:56:52,phc2sys[1241]:,15,-45393,1037
May,11,23:56:53,phc2sys[1241]:,32,-45371,1055
May,11,23:56:54,phc2sys[1241]:,-13,-45407,1037
May,11,23:56:55,phc2sys[1241]:,-8,-45406,1037
May,11,23:56:56,phc2sys[1241]:,20,-45380,1037
May,11,23:56:57,phc2sys[1241]:,-36,-45430,1055
