Timestamp, Temp, CPU_Usage
2024-05-13 15:55:00, 52.1, 16.7%
2024-05-13 15:55:30, 52.1, 20%
2024-05-13 15:56:00, 53.0, 25%
2024-05-13 15:56:30, 51.6, 18.2%
2024-05-13 15:57:00, 52.5, 25%
2024-05-13 15:57:30, 52.1, 30.8%
2024-05-13 15:58:00, 53.0, 25%
2024-05-13 15:58:30, 52.5, 23.1%
2024-05-13 15:59:00, 52.5, 30%
2024-05-13 15:59:30, 52.5, 25%
2024-05-13 16:00:00, 52.1, 30%
2024-05-13 16:00:30, 52.5, 23.1%
2024-05-13 16:01:00, 51.6, 25%
2024-05-13 16:01:30, 52.5, 30.8%
2024-05-13 16:02:00, 53.0, 20%
2024-05-13 16:02:30, 53.0, 25%
2024-05-13 16:03:00, 52.5, 20%
2024-05-13 16:03:30, 52.5, 20%
2024-05-13 16:04:00, 53.0, 27.3%
2024-05-13 16:04:30, 52.5, 20%
2024-05-13 16:05:00, 52.1, 25%
2024-05-13 16:05:30, 52.5, 25%
2024-05-13 16:06:00, 52.5, 20%
2024-05-13 16:06:30, 54.0, 20%
2024-05-13 16:07:00, 53.5, 25%
2024-05-13 16:07:30, 52.5, 20%
2024-05-13 16:08:00, 52.1, 28.6%
2024-05-13 16:08:30, 52.5, 33.3%
2024-05-13 16:09:00, 52.1, 33.3%
2024-05-13 16:09:30, 53.0, 27.3%
2024-05-13 16:10:00, 53.0, 33.3%
2024-05-13 16:10:30, 52.5, 14.3%
2024-05-13 16:11:00, 53.0, 27.3%
2024-05-13 16:11:30, 54.0, 25%
2024-05-13 16:12:00, 53.5, 27.3%
2024-05-13 16:12:30, 53.5, 20%
2024-05-13 16:13:00, 53.0, 20%
2024-05-13 16:13:30, 53.0, 22.2%
2024-05-13 16:14:00, 53.0, 20%
2024-05-13 16:14:30, 53.0, 25%
2024-05-13 16:15:00, 53.5, 27.3%
2024-05-13 16:15:30, 53.5, 33.3%
2024-05-13 16:16:00, 54.5, 20%
2024-05-13 16:16:30, 53.0, 27.3%
2024-05-13 16:17:00, 52.5, 30%
2024-05-13 16:17:30, 53.5, 25%
2024-05-13 16:18:00, 54.5, 20%
2024-05-13 16:18:30, 53.5, 33.3%
2024-05-13 16:19:00, 52.1, 27.3%
2024-05-13 16:19:31, 53.5, 20%
2024-05-13 16:20:00, 54.0, 27.3%
2024-05-13 16:20:30, 54.0, 22.2%
2024-05-13 16:21:00, 53.0, 33.3%
2024-05-13 16:21:30, 53.0, 27.3%
2024-05-13 16:22:00, 54.5, 27.3%
2024-05-13 16:22:30, 53.5, 30%
2024-05-13 16:23:00, 53.0, 20%
2024-05-13 16:23:30, 53.5, 27.3%
2024-05-13 16:24:00, 53.0, 28.6%
2024-05-13 16:24:30, 54.5, 25%
2024-05-13 16:25:00, 53.0, 30%
2024-05-13 16:25:30, 53.5, 27.3%
2024-05-13 16:26:00, 53.0, 14.3%
2024-05-13 16:26:30, 52.5, 27.3%
2024-05-13 16:27:00, 53.0, 22.2%
2024-05-13 16:28:00, 53.5, 33.3%
2024-05-13 16:28:30, 53.0, 14.3%
2024-05-13 16:29:00, 53.5, 25%
2024-05-13 16:29:30, 52.1, 25%
2024-05-13 16:30:00, 53.5, 30%
2024-05-13 16:30:30, 52.5, 14.3%
2024-05-13 16:31:00, 53.0, 20%
2024-05-13 16:31:30, 53.0, 22.2%
2024-05-13 16:32:00, 53.0, 20%
2024-05-13 16:32:30, 52.1, 28.6%
2024-05-13 16:33:00, 52.1, 27.3%
2024-05-13 16:33:30, 53.0, 27.3%
2024-05-13 16:34:00, 53.0, 33.3%
2024-05-13 16:34:30, 52.5, 28.6%
2024-05-13 16:35:00, 53.5, 25%
2024-05-13 16:35:30, 53.0, 25%
2024-05-13 16:36:00, 54.0, 20%
2024-05-13 16:36:30, 53.0, 20%
2024-05-13 16:37:00, 52.5, 27.3%
2024-05-13 16:37:30, 53.0, 33.3%
2024-05-13 16:38:00, 53.5, 0%
2024-05-13 16:38:30, 54.0, 27.3%
2024-05-13 16:39:00, 52.5, 25%
2024-05-13 16:39:30, 52.1, 33.3%
2024-05-13 16:40:00, 53.5, 20%
2024-05-13 16:40:30, 53.5, 25%
2024-05-13 16:41:00, 53.0, 27.3%
2024-05-13 16:41:30, 53.5, 25%
2024-05-13 16:42:00, 53.0, 25%
2024-05-13 16:42:30, 53.0, 22.2%
2024-05-13 16:43:00, 53.5, 20%
2024-05-13 16:44:00, 53.0, 30%
2024-05-13 16:44:30, 53.0, 30%
2024-05-13 16:45:00, 54.0, 20%
2024-05-13 16:45:30, 53.0, 25%
2024-05-13 16:46:00, 53.0, 25%
2024-05-13 16:46:30, 53.5, 27.3%
2024-05-13 16:47:00, 53.0, 28.6%
2024-05-13 16:47:30, 53.0, 27.3%
2024-05-13 16:48:00, 52.5, 20%
2024-05-13 16:48:30, 52.5, 27.3%
2024-05-13 16:49:00, 53.5, 27.3%
2024-05-13 16:49:30, 53.5, 30.8%
2024-05-13 16:50:00, 53.5, 28.6%
2024-05-13 16:50:30, 53.5, 20%
2024-05-13 16:51:00, 54.0, 27.3%
2024-05-13 16:51:30, 53.0, 14.3%
2024-05-13 16:52:00, 53.5, 20%
2024-05-13 16:52:30, 53.0, 18.2%
2024-05-13 16:53:00, 53.5, 18.2%
2024-05-13 16:53:30, 53.0, 27.3%
2024-05-13 16:54:00, 53.0, 25%
2024-05-13 16:54:30, 54.5, 14.3%
2024-05-13 16:55:00, 53.0, 14.3%
2024-05-13 16:55:30, 53.0, 20%
2024-05-13 16:56:00, 53.0, 33.3%
2024-05-13 16:56:30, 54.5, 16.7%
2024-05-13 16:57:00, 53.0, 16.7%
2024-05-13 16:57:30, 53.0, 27.3%
2024-05-13 16:58:00, 52.5, 30%
2024-05-13 16:58:30, 53.5, 33.3%
2024-05-13 16:59:00, 53.5, 27.3%
2024-05-13 16:59:30, 52.5, 20%
2024-05-13 17:00:00, 52.1, 22.2%
2024-05-13 17:00:30, 52.5, 20%
2024-05-13 17:01:00, 53.5, 25%
2024-05-13 17:01:30, 53.0, 28.6%
2024-05-13 17:02:00, 53.0, 28.6%
2024-05-13 17:02:30, 53.5, 18.2%
2024-05-13 17:03:00, 52.5, 28.6%
2024-05-13 17:03:30, 53.0, 20%
2024-05-13 17:04:00, 52.1, 27.3%
2024-05-13 17:04:30, 53.5, 20%
2024-05-13 17:05:00, 54.0, 25%
2024-05-13 17:05:30, 53.5, 25%
2024-05-13 17:06:00, 54.0, 25%
2024-05-13 17:06:30, 53.0, 16.7%
2024-05-13 17:07:00, 54.0, 20%
2024-05-13 17:07:30, 54.0, 33.3%
2024-05-13 17:08:00, 53.5, 27.3%
2024-05-13 17:08:30, 52.5, 27.3%
2024-05-13 17:09:00, 53.5, 18.2%
2024-05-13 17:09:30, 52.1, 25%
2024-05-13 17:10:00, 52.1, 14.3%
2024-05-13 17:10:30, 53.5, 27.3%
2024-05-13 17:11:00, 52.5, 25%
2024-05-13 17:11:30, 53.0, 22.2%
2024-05-13 17:12:00, 53.5, 27.3%
2024-05-13 17:12:30, 53.5, 33.3%
2024-05-13 17:13:00, 53.5, 16.7%
2024-05-13 17:13:30, 54.0, 22.2%
2024-05-13 17:14:00, 53.0, 28.6%
2024-05-13 17:14:30, 53.0, 22.2%
2024-05-13 17:15:00, 53.5, 14.3%
2024-05-13 17:15:30, 53.5, 25%
2024-05-13 17:16:00, 53.0, 16.7%
2024-05-13 17:16:30, 54.0, 27.3%
2024-05-13 17:17:00, 53.0, 28.6%
2024-05-13 17:17:30, 53.5, 22.2%
2024-05-13 17:18:00, 53.0, 33.3%
2024-05-13 17:18:30, 52.5, 27.3%
2024-05-13 17:19:00, 54.0, 25%
2024-05-13 17:19:30, 52.5, 30%
2024-05-13 17:20:00, 54.0, 14.3%
2024-05-13 17:20:30, 53.5, 25%
2024-05-13 17:21:00, 53.0, 20%
2024-05-13 17:21:30, 53.0, 25%
2024-05-13 17:22:00, 52.1, 16.7%
2024-05-13 17:22:30, 52.5, 25%
2024-05-13 17:23:00, 52.1, 0%
2024-05-13 17:23:30, 52.1, 28.6%
2024-05-13 17:24:00, 53.0, 27.3%
2024-05-13 17:24:30, 52.5, 27.3%
2024-05-13 17:25:00, 53.0, 27.3%
2024-05-13 17:25:30, 52.5, 33.3%
2024-05-13 17:26:00, 53.5, 20%
2024-05-13 17:26:30, 54.0, 27.3%
2024-05-13 17:27:00, 54.0, 28.6%
2024-05-13 17:27:30, 53.0, 30%
2024-05-13 17:28:00, 52.1, 20%
2024-05-13 17:28:30, 51.6, 27.3%
2024-05-13 17:29:00, 53.5, 40%
2024-05-13 17:29:30, 52.1, 20%
2024-05-13 17:30:00, 53.5, 22.2%
2024-05-13 17:30:30, 54.0, 33.3%
2024-05-13 17:31:00, 54.0, 22.2%
2024-05-13 17:31:30, 52.5, 30.8%
2024-05-13 17:32:00, 54.0, 27.3%
2024-05-13 17:32:30, 54.0, 30%
2024-05-13 17:33:00, 52.1, 27.3%
2024-05-13 17:33:30, 53.5, 11.1%
2024-05-13 17:34:00, 52.1, 25%
2024-05-13 17:34:30, 53.0, 33.3%
2024-05-13 17:35:00, 53.5, 37.5%
2024-05-13 17:35:30, 53.0, 30%
2024-05-13 17:36:00, 53.5, 28.6%
2024-05-13 17:36:30, 54.0, 22.2%
2024-05-13 17:37:00, 52.5, 20%
2024-05-13 17:37:30, 52.5, 20%
2024-05-13 17:38:00, 53.0, 20%
2024-05-13 17:38:30, 53.5, 27.3%
2024-05-13 17:39:01, 52.5, 27.3%
2024-05-13 17:39:30, 53.5, 27.3%
2024-05-13 17:40:00, 53.0, 16.7%
2024-05-13 17:40:30, 54.0, 27.3%
2024-05-13 17:41:00, 52.5, 27.3%
2024-05-13 17:41:30, 52.5, 33.3%
2024-05-13 17:42:00, 54.0, 25%
2024-05-13 17:42:30, 54.5, 20%
2024-05-13 17:43:00, 53.0, 37.5%
2024-05-13 17:43:30, 53.0, 25%
2024-05-13 17:44:00, 53.5, 33.3%
2024-05-13 17:44:30, 52.5, 27.3%
2024-05-13 17:45:00, 53.0, 20%
2024-05-13 17:45:30, 53.0, 20%
2024-05-13 17:46:00, 52.5, 28.6%
2024-05-13 17:46:30, 54.0, 22.2%
2024-05-13 17:47:00, 53.5, 20%
2024-05-13 17:47:30, 53.5, 33.3%
2024-05-13 17:48:00, 52.5, 20%
2024-05-13 17:49:00, 52.5, 33.3%
2024-05-13 17:49:30, 52.1, 22.2%
2024-05-13 17:50:00, 53.0, 20%
2024-05-13 17:50:30, 52.1, 25%
2024-05-13 17:51:00, 52.1, 20%
2024-05-13 17:51:30, 52.5, 16.7%
2024-05-13 17:52:00, 52.5, 16.7%
2024-05-13 17:52:30, 53.5, 28.6%
2024-05-13 17:53:00, 53.5, 25%
2024-05-13 17:53:30, 53.5, 27.3%
2024-05-13 17:54:00, 52.5, 28.6%
2024-05-13 17:54:30, 53.5, 27.3%
2024-05-13 17:55:00, 53.0, 22.2%
2024-05-13 17:55:30, 52.5, 27.3%
2024-05-13 17:56:00, 53.0, 25%
2024-05-13 17:56:30, 53.0, 25%
2024-05-13 17:57:00, 52.1, 28.6%
2024-05-13 17:57:30, 53.0, 27.3%
2024-05-13 17:58:00, 53.5, 33.3%
2024-05-13 17:58:30, 53.0, 37.5%
2024-05-13 17:59:00, 53.0, 27.3%
2024-05-13 17:59:30, 52.5, 25%
2024-05-13 18:00:00, 53.5, 27.3%
2024-05-13 18:00:30, 53.5, 25%
2024-05-13 18:01:00, 54.0, 25%
2024-05-13 18:01:30, 53.0, 25%
2024-05-13 18:02:00, 53.5, 25%
2024-05-13 18:02:30, 52.1, 25%
2024-05-13 18:03:00, 52.1, 25%
2024-05-13 18:03:30, 53.0, 25%
2024-05-13 18:04:00, 52.1, 27.3%
2024-05-13 18:04:30, 53.5, 25%
2024-05-13 18:05:00, 51.6, 20%
2024-05-13 18:05:30, 52.5, 28.6%
2024-05-13 18:06:00, 52.5, 25%
2024-05-13 18:06:30, 53.0, 0%
2024-05-13 18:07:00, 53.0, 27.3%
2024-05-13 18:07:30, 52.5, 25%
2024-05-13 18:08:00, 52.5, 20%
2024-05-13 18:08:30, 53.0, 33.3%
2024-05-13 18:09:00, 53.0, 16.7%
2024-05-13 18:09:30, 53.0, 27.3%
2024-05-13 18:10:00, 54.5, 20%
2024-05-13 18:10:30, 52.5, 40%
2024-05-13 18:11:00, 53.0, 33.3%
2024-05-13 18:11:30, 52.1, 20%
2024-05-13 18:12:00, 52.5, 27.3%
2024-05-13 18:12:30, 54.0, 20%
2024-05-13 18:13:00, 51.6, 33.3%
2024-05-13 18:13:30, 53.5, 30%
2024-05-13 18:14:00, 52.1, 14.3%
2024-05-13 18:14:30, 53.5, 20%
2024-05-13 18:15:00, 53.0, 25%
2024-05-13 18:15:30, 52.5, 27.3%
2024-05-13 18:16:00, 53.5, 30%
2024-05-13 18:16:30, 52.1, 20%
2024-05-13 18:17:00, 52.5, 20%
2024-05-13 18:17:30, 53.0, 27.3%
2024-05-13 18:18:00, 51.6, 27.3%
2024-05-13 18:18:30, 52.5, 20%
2024-05-13 18:19:00, 52.1, 20%
2024-05-13 18:19:30, 52.1, 20%
2024-05-13 18:20:00, 51.6, 25%
2024-05-13 18:20:30, 52.5, 20%
2024-05-13 18:21:00, 53.0, 22.2%
2024-05-13 18:21:30, 52.5, 37.5%
2024-05-13 18:22:00, 53.0, 27.3%
2024-05-13 18:22:30, 52.5, 33.3%
2024-05-13 18:23:00, 52.5, 33.3%
2024-05-13 18:23:30, 53.0, 33.3%
2024-05-13 18:24:00, 52.1, 27.3%
2024-05-13 18:24:30, 51.1, 20%
2024-05-13 18:25:00, 53.0, 25%
2024-05-13 18:25:30, 51.6, 27.3%
2024-05-13 18:26:00, 52.1, 25%
2024-05-13 18:26:30, 53.0, 27.3%
2024-05-13 18:27:00, 52.1, 20%
2024-05-13 18:27:30, 52.1, 25%
2024-05-13 18:28:00, 52.1, 33.3%
2024-05-13 18:28:30, 52.5, 20%
2024-05-13 18:29:00, 52.5, 27.3%
2024-05-13 18:29:30, 52.1, 25%
2024-05-13 18:30:00, 51.6, 20%
2024-05-13 18:30:30, 51.6, 22.2%
2024-05-13 18:31:00, 51.6, 27.3%
2024-05-13 18:31:31, 52.1, 28.6%
2024-05-13 18:32:00, 53.0, 16.7%
2024-05-13 18:32:30, 52.5, 0%
2024-05-13 18:33:00, 52.1, 22.2%
2024-05-13 18:33:30, 51.1, 25%
2024-05-13 18:34:00, 52.1, 27.3%
2024-05-13 18:34:30, 51.6, 25%
2024-05-13 18:35:00, 50.6, 40%
2024-05-13 18:35:30, 51.6, 27.3%
2024-05-13 18:36:00, 52.5, 20%
2024-05-13 18:36:30, 52.5, 20%
2024-05-13 18:37:00, 52.5, 30%
2024-05-13 18:37:30, 52.1, 20%
2024-05-13 18:38:00, 51.6, 33.3%
2024-05-13 18:38:30, 51.1, 14.3%
2024-05-13 18:39:00, 52.5, 22.2%
2024-05-13 18:39:30, 51.6, 20%
2024-05-13 18:40:00, 52.1, 25%
2024-05-13 18:40:30, 51.6, 27.3%
2024-05-13 18:41:00, 52.1, 27.3%
2024-05-13 18:41:30, 52.1, 20%
2024-05-13 18:42:00, 51.1, 25%
2024-05-13 18:42:30, 52.5, 27.3%
2024-05-13 18:43:00, 51.6, 37.5%
2024-05-13 18:43:30, 51.6, 28.6%
2024-05-13 18:44:00, 52.1, 27.3%
2024-05-13 18:44:30, 52.5, 33.3%
2024-05-13 18:45:00, 52.1, 27.3%
2024-05-13 18:45:30, 52.5, 25%
2024-05-13 18:46:00, 53.0, 16.7%
2024-05-13 18:46:30, 52.1, 25%
2024-05-13 18:47:00, 52.1, 25%
2024-05-13 18:47:30, 51.6, 27.3%
2024-05-13 18:48:00, 51.6, 25%
2024-05-13 18:48:30, 52.5, 20%
2024-05-13 18:49:00, 51.6, 20%
2024-05-13 18:49:30, 52.5, 27.3%
2024-05-13 18:50:00, 53.5, 27.3%
2024-05-13 18:50:30, 51.6, 28.6%
2024-05-13 18:51:00, 51.6, 20%
2024-05-13 18:51:30, 52.1, 27.3%
2024-05-13 18:52:00, 52.1, 42.9%
2024-05-13 18:52:30, 51.1, 25%
2024-05-13 18:53:00, 53.0, 25%
2024-05-13 18:53:30, 52.1, 27.3%
2024-05-13 18:54:00, 52.5, 27.3%
2024-05-13 18:55:00, 53.0, 18.2%
