Timestamp, Temp, CPU_Usage
2024-05-12 23:48:30, 50.1, 30%
2024-05-12 23:49:00, 52.5, 33.3%
2024-05-12 23:49:30, 51.6, 25%
2024-05-12 23:50:00, 51.1, 20%
2024-05-12 23:50:30, 52.1, 25%
2024-05-12 23:51:00, 52.1, 30.8%
2024-05-12 23:51:30, 51.1, 20%
2024-05-12 23:52:00, 51.6, 23.1%
2024-05-12 23:52:30, 50.6, 27.3%
2024-05-12 23:53:00, 51.6, 27.3%
2024-05-12 23:53:30, 51.6, 25%
2024-05-12 23:54:00, 51.6, 20%
2024-05-12 23:54:30, 53.0, 25%
2024-05-12 23:55:00, 51.1, 25%
2024-05-12 23:55:30, 50.1, 30.8%
2024-05-12 23:56:00, 51.1, 25%
2024-05-12 23:56:30, 51.6, 20%
2024-05-12 23:57:00, 50.6, 20%
2024-05-12 23:57:30, 50.1, 22.2%
2024-05-12 23:58:00, 50.1, 25%
2024-05-12 23:58:30, 50.1, 12.5%
2024-05-12 23:59:00, 51.1, 27.3%
2024-05-12 23:59:30, 50.6, 25%
2024-05-13 00:00:00, 50.6, 30%
2024-05-13 00:00:30, 51.1, 20%
2024-05-13 00:01:00, 50.6, 20%
2024-05-13 00:01:30, 51.1, 25%
2024-05-13 00:02:00, 52.5, 25%
2024-05-13 00:02:30, 50.6, 27.3%
2024-05-13 00:03:00, 51.6, 25%
2024-05-13 00:03:30, 50.6, 25%
2024-05-13 00:04:00, 50.1, 33.3%
2024-05-13 00:04:30, 52.1, 22.2%
2024-05-13 00:05:00, 51.1, 22.2%
2024-05-13 00:05:30, 50.1, 25%
2024-05-13 00:06:00, 50.6, 22.2%
2024-05-13 00:06:30, 51.6, 20%
2024-05-13 00:07:00, 50.6, 27.3%
2024-05-13 00:07:30, 50.6, 25%
2024-05-13 00:08:00, 50.6, 33.3%
2024-05-13 00:08:30, 50.6, 20%
2024-05-13 00:09:00, 50.6, 25%
2024-05-13 00:09:30, 50.1, 27.3%
2024-05-13 00:10:00, 51.1, 33.3%
2024-05-13 00:10:30, 51.1, 27.3%
2024-05-13 00:11:00, 51.6, 27.3%
2024-05-13 00:11:30, 51.6, 22.2%
2024-05-13 00:12:00, 50.6, 27.3%
2024-05-13 00:13:00, 51.6, 33.3%
2024-05-13 00:13:30, 51.6, 20%
2024-05-13 00:14:00, 51.1, 18.2%
2024-05-13 00:14:30, 51.6, 27.3%
2024-05-13 00:15:00, 51.1, 30%
2024-05-13 00:15:30, 51.1, 27.3%
2024-05-13 00:16:00, 50.1, 30%
2024-05-13 00:16:30, 51.6, 27.3%
2024-05-13 00:17:00, 50.1, 28.6%
2024-05-13 00:17:30, 51.6, 27.3%
2024-05-13 00:18:00, 50.1, 20%
2024-05-13 00:18:30, 51.1, 20%
2024-05-13 00:19:00, 51.6, 25%
2024-05-13 00:19:30, 51.6, 25%
2024-05-13 00:20:00, 51.6, 25%
2024-05-13 00:20:30, 51.1, 27.3%
2024-05-13 00:21:00, 51.6, 25%
2024-05-13 00:21:30, 50.6, 33.3%
2024-05-13 00:22:00, 50.6, 22.2%
2024-05-13 00:22:30, 51.6, 25%
2024-05-13 00:23:00, 51.6, 27.3%
2024-05-13 00:23:30, 49.6, 22.2%
2024-05-13 00:24:00, 51.1, 33.3%
2024-05-13 00:24:30, 51.1, 33.3%
2024-05-13 00:25:00, 51.1, 27.3%
2024-05-13 00:25:30, 51.1, 20%
2024-05-13 00:26:00, 50.6, 22.2%
2024-05-13 00:26:30, 50.6, 25%
2024-05-13 00:27:00, 51.6, 18.2%
2024-05-13 00:27:30, 51.6, 27.3%
2024-05-13 00:28:00, 51.1, 27.3%
2024-05-13 00:28:30, 50.6, 33.3%
2024-05-13 00:29:00, 50.6, 20%
2024-05-13 00:29:30, 50.6, 25%
2024-05-13 00:30:00, 51.6, 25%
2024-05-13 00:30:30, 51.1, 27.3%
2024-05-13 00:31:00, 52.1, 18.2%
2024-05-13 00:31:30, 51.1, 20%
2024-05-13 00:32:00, 51.1, 27.3%
2024-05-13 00:32:30, 50.1, 25%
2024-05-13 00:33:00, 51.6, 22.2%
2024-05-13 00:33:30, 51.1, 22.2%
2024-05-13 00:34:00, 50.1, 27.3%
2024-05-13 00:34:30, 50.6, 27.3%
2024-05-13 00:35:00, 51.1, 25%
2024-05-13 00:35:30, 50.6, 30%
2024-05-13 00:36:00, 50.1, 33.3%
2024-05-13 00:36:30, 51.1, 27.3%
2024-05-13 00:37:00, 51.1, 27.3%
2024-05-13 00:37:30, 51.1, 25%
2024-05-13 00:38:00, 50.6, 18.2%
2024-05-13 00:38:30, 51.6, 25%
2024-05-13 00:39:00, 50.6, 20%
2024-05-13 00:39:30, 50.6, 20%
2024-05-13 00:40:30, 51.1, 27.3%
2024-05-13 00:41:00, 51.1, 27.3%
2024-05-13 00:41:30, 51.1, 18.2%
2024-05-13 00:42:00, 50.6, 27.3%
2024-05-13 00:42:30, 51.6, 22.2%
2024-05-13 00:43:00, 50.6, 27.3%
2024-05-13 00:43:30, 51.6, 12.5%
2024-05-13 00:44:00, 50.1, 25%
2024-05-13 00:44:30, 51.6, 27.3%
2024-05-13 00:45:00, 51.6, 22.2%
2024-05-13 00:45:30, 50.6, 22.2%
2024-05-13 00:46:00, 51.1, 20%
2024-05-13 00:46:30, 52.1, 27.3%
2024-05-13 00:47:00, 51.6, 22.2%
2024-05-13 00:47:30, 50.6, 27.3%
2024-05-13 00:48:00, 51.1, 25%
2024-05-13 00:48:30, 51.1, 30%
2024-05-13 00:49:00, 51.6, 25%
2024-05-13 00:49:30, 50.6, 20%
2024-05-13 00:50:00, 50.6, 18.2%
2024-05-13 00:50:30, 51.1, 33.3%
2024-05-13 00:51:00, 50.1, 27.3%
2024-05-13 00:51:30, 51.6, 18.2%
2024-05-13 00:52:00, 51.1, 27.3%
2024-05-13 00:52:30, 50.6, 20%
2024-05-13 00:53:00, 51.1, 30.8%
2024-05-13 00:53:30, 50.6, 18.2%
2024-05-13 00:54:00, 50.6, 20%
2024-05-13 00:54:30, 51.1, 20%
2024-05-13 00:55:00, 51.1, 18.2%
2024-05-13 00:55:30, 50.6, 25%
2024-05-13 00:56:00, 51.1, 22.2%
2024-05-13 00:56:30, 51.6, 20%
2024-05-13 00:57:00, 51.1, 22.2%
2024-05-13 00:57:30, 51.6, 20%
2024-05-13 00:58:00, 50.1, 12.5%
2024-05-13 00:58:30, 51.1, 22.2%
2024-05-13 00:59:00, 50.6, 25%
2024-05-13 00:59:30, 51.1, 27.3%
2024-05-13 01:00:00, 51.1, 22.2%
2024-05-13 01:00:30, 51.1, 27.3%
2024-05-13 01:01:00, 50.6, 25%
2024-05-13 01:01:30, 50.6, 18.2%
2024-05-13 01:02:00, 50.6, 33.3%
2024-05-13 01:02:30, 50.6, 27.3%
2024-05-13 01:03:00, 50.6, 22.2%
2024-05-13 01:03:30, 50.1, 20%
2024-05-13 01:04:00, 50.6, 25%
2024-05-13 01:04:30, 50.6, 30%
2024-05-13 01:05:00, 51.1, 20%
2024-05-13 01:05:30, 51.1, 25%
2024-05-13 01:06:00, 50.6, 27.3%
2024-05-13 01:06:30, 50.6, 27.3%
2024-05-13 01:07:00, 50.6, 18.2%
2024-05-13 01:07:30, 51.1, 20%
2024-05-13 01:08:00, 51.1, 25%
2024-05-13 01:08:30, 51.6, 12.5%
2024-05-13 01:09:00, 51.6, 30%
2024-05-13 01:09:30, 51.1, 20%
2024-05-13 01:10:00, 51.1, 25%
2024-05-13 01:10:30, 50.6, 27.3%
2024-05-13 01:11:00, 51.1, 27.3%
2024-05-13 01:11:30, 51.1, 20%
2024-05-13 01:12:00, 51.1, 36.4%
2024-05-13 01:12:30, 50.6, 30%
2024-05-13 01:13:30, 50.6, 22.2%
2024-05-13 01:14:00, 50.6, 20%
2024-05-13 01:14:30, 51.6, 22.2%
2024-05-13 01:15:00, 50.6, 22.2%
2024-05-13 01:15:31, 51.1, 22.2%
2024-05-13 01:16:00, 51.1, 25%
2024-05-13 01:16:30, 50.1, 33.3%
2024-05-13 01:17:00, 51.1, 25%
2024-05-13 01:17:30, 51.6, 27.3%
2024-05-13 01:18:00, 51.6, 27.3%
2024-05-13 01:18:30, 50.6, 22.2%
2024-05-13 01:19:00, 50.6, 25%
2024-05-13 01:19:30, 51.6, 33.3%
2024-05-13 01:20:00, 50.1, 25%
2024-05-13 01:20:30, 50.6, 30.8%
2024-05-13 01:21:00, 50.6, 30%
2024-05-13 01:21:30, 51.1, 25%
2024-05-13 01:22:00, 51.6, 27.3%
2024-05-13 01:22:31, 50.6, 22.2%
2024-05-13 01:23:00, 50.6, 25%
2024-05-13 01:23:30, 51.1, 25%
2024-05-13 01:24:00, 51.1, 30.8%
2024-05-13 01:24:30, 51.1, 22.2%
2024-05-13 01:25:00, 51.6, 33.3%
2024-05-13 01:25:30, 50.6, 22.2%
2024-05-13 01:26:00, 50.6, 36.4%
2024-05-13 01:26:30, 49.6, 22.2%
2024-05-13 01:27:00, 51.1, 27.3%
2024-05-13 01:27:30, 51.1, 20%
2024-05-13 01:28:00, 50.6, 18.2%
2024-05-13 01:28:30, 50.6, 27.3%
2024-05-13 01:29:00, 50.1, 27.3%
2024-05-13 01:29:30, 50.6, 30%
2024-05-13 01:30:00, 50.6, 20%
2024-05-13 01:30:30, 50.1, 25%
2024-05-13 01:31:00, 50.1, 25%
2024-05-13 01:31:30, 51.1, 20%
2024-05-13 01:32:00, 50.6, 25%
2024-05-13 01:32:30, 51.6, 27.3%
2024-05-13 01:33:00, 51.1, 30.8%
2024-05-13 01:33:30, 51.1, 27.3%
2024-05-13 01:34:00, 51.6, 27.3%
2024-05-13 01:34:30, 50.1, 27.3%
2024-05-13 01:35:00, 51.1, 22.2%
2024-05-13 01:35:30, 50.1, 30%
2024-05-13 01:36:00, 51.1, 18.2%
2024-05-13 01:36:30, 51.1, 25%
2024-05-13 01:37:00, 50.1, 30.8%
2024-05-13 01:37:30, 50.1, 30%
2024-05-13 01:38:00, 50.1, 25%
2024-05-13 01:38:30, 50.6, 33.3%
2024-05-13 01:39:00, 51.1, 18.2%
2024-05-13 01:39:30, 50.6, 27.3%
2024-05-13 01:40:00, 50.6, 20%
2024-05-13 01:40:30, 50.6, 30%
