Timestamp, Offset, Jitter, Last Offset, RMS Offset, Root Delay, Root Dispersion, Sources Last Offset, Sources RMS, Sources Error
2024-05-13 15:56:30, -5ns, 513ns, -0.000000037, 0.001507520, 0.000000001, 0.000008489, +89ns[, +80ns], 477ns
2024-05-13 15:56:30, -6ns, 513ns, -0.000000037, 0.001507520, 0.000000001, 0.000009948, +89ns[, +80ns], 477ns
2024-05-13 15:56:30, -8ns, 513ns, -0.000000037, 0.001507520, 0.000000001, 0.000011451, +89ns[, +80ns], 477ns
2024-05-13 15:56:30, -10ns, 513ns, -0.000000037, 0.001507520, 0.000000001, 0.000012876, +89ns[, +80ns], 477ns
2024-05-13 15:56:30, +1ns, 507ns, +0.000000242, 0.001430159, 0.000000001, 0.000006654, +365ns[, +595ns], 364ns
2024-05-13 15:56:30, +1ns, 507ns, +0.000000242, 0.001430159, 0.000000001, 0.000008094, +365ns[, +595ns], 364ns
2024-05-13 15:56:30, +2ns, 507ns, +0.000000242, 0.001430159, 0.000000001, 0.000009526, +365ns[, +595ns], 364ns
2024-05-13 15:56:30, +2ns, 507ns, +0.000000242, 0.001430159, 0.000000001, 0.000010897, +365ns[, +595ns], 364ns
2024-05-13 15:56:30, +3ns, 507ns, +0.000000242, 0.001430159, 0.000000001, 0.000012315, +365ns[, +595ns], 364ns
2024-05-13 15:56:30, +4ns, 507ns, +0.000000242, 0.001430159, 0.000000001, 0.000013747, +365ns[, +595ns], 777ns
2024-05-13 15:56:30, +0ns, 504ns, +0.000000045, 0.001356768, 0.000000001, 0.000007376, +692ns[, +732ns], 777ns
2024-05-13 15:56:30, +1ns, 504ns, +0.000000045, 0.001356768, 0.000000001, 0.000008836, +692ns[, +732ns], 777ns
2024-05-13 15:56:30, +1ns, 504ns, +0.000000045, 0.001356768, 0.000000001, 0.000010242, +692ns[, +732ns], 777ns
2024-05-13 15:56:30, +1ns, 504ns, +0.000000045, 0.001356768, 0.000000001, 0.000011630, +692ns[, +732ns], 777ns
2024-05-13 15:56:30, +1ns, 504ns, +0.000000045, 0.001356768, 0.000000001, 0.000013062, +692ns[, +732ns], 777ns
2024-05-13 15:56:30, +2ns, 504ns, +0.000000045, 0.001356768, 0.000000001, 0.000014465, +364ns[, +627ns], 421ns
2024-05-13 15:56:30, +1ns, 502ns, +0.000000275, 0.001287143, 0.000000001, 0.000005434, +364ns[, +627ns], 421ns
2024-05-13 15:56:30, +2ns, 502ns, +0.000000275, 0.001287143, 0.000000001, 0.000006850, +364ns[, +627ns], 421ns
2024-05-13 15:56:30, +3ns, 502ns, +0.000000275, 0.001287143, 0.000000001, 0.000008439, +364ns[, +627ns], 421ns
2024-05-13 15:56:30, +4ns, 502ns, +0.000000275, 0.001287143, 0.000000001, 0.000009851, +364ns[, +627ns], 421ns
2024-05-13 15:56:30, +5ns, 502ns, +0.000000275, 0.001287143, 0.000000001, 0.000011527, +364ns[, +627ns], 421ns
2024-05-13 15:56:30, +1ns, 557ns, +0.000000408, 0.001221091, 0.000000001, 0.000005817, +712ns[+1100ns], +/-, 
2024-05-13 15:57:01, +3ns, 557ns, +0.000000408, 0.001221091, 0.000000001, 0.000007495, +712ns[+1100ns], +/-, 
2024-05-13 15:57:01, +4ns, 557ns, +0.000000408, 0.001221091, 0.000000001, 0.000008913, +712ns[+1100ns], +/-, 
2024-05-13 15:57:01, +6ns, 557ns, +0.000000408, 0.001221091, 0.000000001, 0.000010333, +712ns[+1100ns], +/-, 
2024-05-13 15:57:01, +8ns, 557ns, +0.000000408, 0.001221091, 0.000000001, 0.000011867, +712ns[+1100ns], +/-, 
2024-05-13 15:57:01, +10ns, 557ns, +0.000000408, 0.001221091, 0.000000001, 0.000013272, +712ns[+1100ns], +/-, 
2024-05-13 15:57:01, -1ns, 601ns, -0.000000339, 0.001158429, 0.000000001, 0.000006297, -748ns[-1075ns], +/-, 
2024-05-13 15:57:01, -2ns, 601ns, -0.000000339, 0.001158429, 0.000000001, 0.000007639, -748ns[-1075ns], +/-, 
2024-05-13 15:57:01, -2ns, 601ns, -0.000000339, 0.001158429, 0.000000001, 0.000008957, -748ns[-1075ns], +/-, 
2024-05-13 15:57:01, -3ns, 601ns, -0.000000339, 0.001158429, 0.000000001, 0.000010364, -748ns[-1075ns], +/-, 
2024-05-13 15:57:01, -4ns, 601ns, -0.000000339, 0.001158429, 0.000000001, 0.000011817, -748ns[-1075ns], +/-, 
2024-05-13 15:57:01, -5ns, 601ns, -0.000000339, 0.001158429, 0.000000001, 0.000013221, -748ns[-1075ns], +/-, 
2024-05-13 15:57:01, -2ns, 715ns, -0.000000379, 0.001098982, 0.000000001, 0.000007067, -1199ns[-1570ns], +/-, 
2024-05-13 15:57:01, -4ns, 715ns, -0.000000379, 0.001098982, 0.000000001, 0.000008468, -1199ns[-1570ns], +/-, 
2024-05-13 15:57:01, -6ns, 715ns, -0.000000379, 0.001098982, 0.000000001, 0.000009927, -1199ns[-1570ns], +/-, 
2024-05-13 15:57:01, -8ns, 715ns, -0.000000379, 0.001098982, 0.000000001, 0.000011360, -1199ns[-1570ns], +/-, 
2024-05-13 15:57:01, -10ns, 715ns, -0.000000379, 0.001098982, 0.000000001, 0.000012760, -1199ns[-1570ns], +/-, 
2024-05-13 15:57:01, -0ns, 768ns, -0.000000153, 0.001042586, 0.000000001, 0.000004625, -2498ns[-2644ns], +/-, 
2024-05-13 15:57:01, -1ns, 768ns, -0.000000153, 0.001042586, 0.000000001, 0.000006016, -2498ns[-2644ns], +/-, 
2024-05-13 15:57:01, -3ns, 768ns, -0.000000153, 0.001042586, 0.000000001, 0.000007436, -2498ns[-2644ns], +/-, 
2024-05-13 15:57:01, -4ns, 768ns, -0.000000153, 0.001042586, 0.000000001, 0.000008868, -2498ns[-2644ns], +/-, 
2024-05-13 15:57:01, -5ns, 768ns, -0.000000153, 0.001042586, 0.000000001, 0.000010269, -2498ns[-2644ns], +/-, 
2024-05-13 15:57:01, -7ns, 768ns, -0.000000153, 0.001042586, 0.000000001, 0.000011696, -2498ns[-2644ns], +/-, 
2024-05-13 15:57:01, -0ns, 745ns, -0.000000233, 0.000989084, 0.000000001, 0.000005964, -398ns[, -618ns], 426ns
2024-05-13 15:57:01, -1ns, 745ns, -0.000000233, 0.000989084, 0.000000001, 0.000007371, -398ns[, -618ns], 426ns
2024-05-13 15:57:01, -2ns, 745ns, -0.000000233, 0.000989084, 0.000000001, 0.000008790, -398ns[, -618ns], 426ns
2024-05-13 15:57:01, -3ns, 745ns, -0.000000233, 0.000989084, 0.000000001, 0.000010199, -398ns[, -618ns], 426ns
2024-05-13 15:57:01, -4ns, 745ns, -0.000000233, 0.000989084, 0.000000001, 0.000011589, -398ns[, -618ns], 426ns
2024-05-13 15:57:01, -5ns, 745ns, -0.000000233, 0.000989084, 0.000000001, 0.000012992, -398ns[, -618ns], 426ns
