Month, Day, Time, Unit, Offset, Freq, Delay
May,13,08:25:58,phc2sys[145310]:,-342,-2051,982
May,13,08:26:15,phc2sys[181186]:,-1348469,-2051,1000
May,13,08:26:16,phc2sys[181186]:,-1331877,+14540,1000
May,13,08:26:17,phc2sys[181186]:,-21862,-7322,981
May,13,08:26:18,phc2sys[181186]:,-26845,-18864,981
May,13,08:26:19,phc2sys[181186]:,-18625,-18697,1000
May,13,08:26:20,phc2sys[181186]:,-7517,-13177,981
May,13,08:26:21,phc2sys[181186]:,671,-7244,981
May,13,08:26:22,phc2sys[181186]:,4659,-3055,1018
May,13,08:26:23,phc2sys[181186]:,309885,+303569,982
May,13,08:26:24,phc2sys[181186]:,967765,+1054414,999
May,13,08:26:25,phc2sys[181186]:,837462,+1214441,999
May,13,08:26:26,phc2sys[181186]:,-174113,+454105,980
May,13,08:26:27,phc2sys[181186]:,-1070017,-494033,1018
May,13,08:26:28,phc2sys[181186]:,-990138,-735159,1038
May,13,08:26:29,phc2sys[181186]:,-448420,-490483,982
May,13,08:26:30,phc2sys[181186]:,-15640,-192229,982
May,13,08:26:31,phc2sys[181186]:,176283,-4998,1000
May,13,08:26:32,phc2sys[181186]:,197553,+69157,982
May,13,08:26:33,phc2sys[181186]:,143967,+74837,981
May,13,08:26:34,phc2sys[181186]:,79179,+53239,981
May,13,08:26:35,phc2sys[181186]:,30629,+28443,999
May,13,08:26:36,phc2sys[181186]:,3272,+10274,982
May,13,08:26:37,phc2sys[181186]:,-8113,-129,981
May,13,08:26:38,phc2sys[181186]:,-10013,-4463,981
May,13,08:26:39,phc2sys[181186]:,-7915,-5369,1000
May,13,08:26:40,phc2sys[181186]:,-4876,-4704,1000
May,13,08:26:41,phc2sys[181186]:,-2338,-3629,981
May,13,08:26:42,phc2sys[181186]:,-813,-2805,981
May,13,08:26:43,phc2sys[181186]:,-31,-2267,982
May,13,08:26:44,phc2sys[181186]:,125,-2121,1037
May,13,08:26:45,phc2sys[181186]:,155,-2053,1037
May,13,08:26:46,phc2sys[181186]:,166,-1996,981
May,13,08:26:47,phc2sys[181186]:,-36,-2148,1000
May,13,08:26:48,phc2sys[181186]:,-550,-2673,1000
May,13,08:26:49,phc2sys[181186]:,-848,-3136,981
May,13,08:26:50,phc2sys[181186]:,-850,-3392,982
May,13,08:26:51,phc2sys[181186]:,-308,-3105,1037
May,13,08:26:52,phc2sys[181186]:,582,-2307,1037
May,13,08:26:53,phc2sys[181186]:,1218,-1497,981
May,13,08:26:54,phc2sys[181186]:,1240,-1109,981
May,13,08:26:55,phc2sys[181186]:,618,-1359,1000
May,13,08:26:56,phc2sys[181186]:,-174,-1966,981
May,13,08:26:57,phc2sys[181186]:,-707,-2551,982
May,13,08:26:58,phc2sys[181186]:,-752,-2808,1037
May,13,08:26:59,phc2sys[181186]:,-426,-2708,1000
May,13,08:27:00,phc2sys[181186]:,-129,-2539,982
May,13,08:27:01,phc2sys[181186]:,29,-2419,981
May,13,08:27:02,phc2sys[181186]:,164,-2276,981
May,13,08:27:03,phc2sys[181186]:,103,-2288,981
May,13,08:27:04,phc2sys[181186]:,196,-2164,982
May,13,08:27:05,phc2sys[181186]:,173,-2128,1000
May,13,08:27:06,phc2sys[181186]:,205,-2044,981
May,13,08:27:07,phc2sys[181186]:,71,-2116,981
May,13,08:27:08,phc2sys[181186]:,-22,-2188,981
May,13,08:27:09,phc2sys[181186]:,-35,-2208,1037
May,13,08:27:10,phc2sys[181186]:,-89,-2272,1037
May,13,08:27:11,phc2sys[181186]:,-63,-2273,1000
May,13,08:27:12,phc2sys[181186]:,-2,-2231,1000
May,13,08:27:13,phc2sys[181186]:,39,-2190,981
May,13,08:27:14,phc2sys[181186]:,-37,-2255,981
May,13,08:27:15,phc2sys[181186]:,39,-2190,982
May,13,08:27:16,phc2sys[181186]:,42,-2175,981
May,13,08:27:17,phc2sys[181186]:,-15,-2220,981
May,13,08:27:18,phc2sys[181186]:,-21,-2230,981
May,13,08:27:19,phc2sys[181186]:,-25,-2240,981
May,13,08:27:20,phc2sys[181186]:,-51,-2274,981
May,13,08:27:21,phc2sys[181186]:,31,-2207,1037
May,13,08:27:22,phc2sys[181186]:,100,-2129,981
May,13,08:27:23,phc2sys[181186]:,46,-2153,982
May,13,08:27:24,phc2sys[181186]:,-1,-2186,981
May,13,08:27:25,phc2sys[181186]:,-72,-2257,1000
May,13,08:27:26,phc2sys[181186]:,-11,-2218,981
May,13,08:27:27,phc2sys[181186]:,36,-2174,981
May,13,08:27:28,phc2sys[181186]:,46,-2153,1000
May,13,08:27:29,phc2sys[181186]:,-56,-2242,981
May,13,08:27:30,phc2sys[181186]:,-37,-2239,981
May,13,08:27:31,phc2sys[181186]:,-34,-2248,1000
May,13,08:27:32,phc2sys[181186]:,19,-2205,1055
May,13,08:27:33,phc2sys[181186]:,-40,-2258,1037
May,13,08:27:34,phc2sys[181186]:,74,-2156,982
May,13,08:27:35,phc2sys[181186]:,4,-2204,1000
May,13,08:27:36,phc2sys[181186]:,-31,-2238,982
May,13,08:27:37,phc2sys[181186]:,84,-2132,1000
May,13,08:27:38,phc2sys[181186]:,25,-2166,981
May,13,08:27:39,phc2sys[181186]:,26,-2157,1037
May,13,08:27:40,phc2sys[181186]:,-98,-2273,1037
May,13,08:27:41,phc2sys[181186]:,1,-2204,1000
May,13,08:27:42,phc2sys[181186]:,-26,-2231,1000
May,13,08:27:43,phc2sys[181186]:,44,-2168,981
May,13,08:27:44,phc2sys[181186]:,81,-2118,981
May,13,08:27:45,phc2sys[181186]:,9,-2166,982
May,13,08:27:46,phc2sys[181186]:,-66,-2238,1000
May,13,08:27:47,phc2sys[181186]:,-109,-2301,981
May,13,08:27:48,phc2sys[181186]:,-43,-2268,981
May,13,08:27:49,phc2sys[181186]:,-80,-2318,981
May,13,08:27:50,phc2sys[181186]:,24,-2238,982
May,13,08:27:51,phc2sys[181186]:,68,-2186,1055
