Timestamp, Temp, CPU_Usage
2024-05-13 16:05:30, 49.9, 0%
2024-05-13 16:06:00, 51.0, 33.3%
2024-05-13 16:06:30, 51.0, 50%
2024-05-13 16:07:00, 49.9, 25%
2024-05-13 16:07:30, 49.9, 0%
2024-05-13 16:08:00, 50.5, 0%
2024-05-13 16:08:30, 49.9, 33.3%
2024-05-13 16:09:00, 50.5, 33.3%
2024-05-13 16:09:30, 51.0, 0%
2024-05-13 16:10:00, 51.0, 50%
2024-05-13 16:10:30, 49.9, 50%
2024-05-13 16:11:00, 50.5, 33.3%
2024-05-13 16:11:30, 51.0, 50%
2024-05-13 16:12:00, 50.5, 33.3%
2024-05-13 16:12:30, 51.0, 33.3%
2024-05-13 16:13:00, 49.9, 33.3%
2024-05-13 16:13:30, 51.0, 0%
2024-05-13 16:14:00, 49.4, 25%
2024-05-13 16:14:30, 49.9, 50%
2024-05-13 16:15:00, 49.9, 33.3%
2024-05-13 16:15:30, 50.5, 33.3%
2024-05-13 16:16:00, 50.5, 0%
2024-05-13 16:16:30, 51.0, 0%
2024-05-13 16:17:00, 49.9, 33.3%
2024-05-13 16:17:30, 51.0, 40%
2024-05-13 16:18:00, 49.9, 50%
2024-05-13 16:18:30, 51.0, 33.3%
2024-05-13 16:19:00, 50.5, 0%
2024-05-13 16:19:30, 51.0, 0%
2024-05-13 16:20:00, 51.0, 33.3%
2024-05-13 16:20:30, 49.4, 50%
2024-05-13 16:21:00, 50.5, 33.3%
2024-05-13 16:21:30, 50.5, 33.3%
2024-05-13 16:22:00, 50.5, 0%
2024-05-13 16:22:30, 49.4, 33.3%
2024-05-13 16:23:00, 49.9, 0%
2024-05-13 16:23:30, 50.5, 25%
2024-05-13 16:24:00, 50.5, 0%
2024-05-13 16:24:30, 49.9, 33.3%
2024-05-13 16:25:00, 49.9, 50%
2024-05-13 16:25:30, 51.0, 0%
2024-05-13 16:26:00, 51.0, 25%
2024-05-13 16:26:30, 51.0, 0%
2024-05-13 16:27:00, 51.0, 0%
2024-05-13 16:27:30, 51.0, 0%
2024-05-13 16:28:30, 51.6, 0%
2024-05-13 16:29:00, 50.5, 33.3%
2024-05-13 16:29:30, 50.5, 0%
2024-05-13 16:30:00, 49.4, 33.3%
2024-05-13 16:30:30, 50.5, 20%
2024-05-13 16:31:00, 50.5, 0%
2024-05-13 16:31:30, 49.9, 33.3%
2024-05-13 16:32:00, 50.5, 0%
2024-05-13 16:32:30, 50.5, 33.3%
2024-05-13 16:33:00, 49.9, 33.3%
2024-05-13 16:33:30, 50.5, 33.3%
2024-05-13 16:34:00, 50.5, 50%
2024-05-13 16:34:30, 51.0, 50%
2024-05-13 16:35:00, 51.0, 0%
2024-05-13 16:35:30, 49.4, 33.3%
2024-05-13 16:36:00, 50.5, 33.3%
2024-05-13 16:36:30, 49.9, 0%
2024-05-13 16:37:00, 51.0, 33.3%
2024-05-13 16:37:30, 50.5, 50%
2024-05-13 16:38:00, 49.4, 33.3%
2024-05-13 16:38:30, 51.0, 33.3%
2024-05-13 16:39:00, 50.5, 33.3%
2024-05-13 16:39:30, 49.9, 50%
2024-05-13 16:40:00, 50.5, 0%
2024-05-13 16:40:30, 49.9, 50%
2024-05-13 16:41:00, 49.9, 25%
2024-05-13 16:41:30, 51.0, 33.3%
2024-05-13 16:42:00, 51.0, 0%
2024-05-13 16:42:30, 50.5, 0%
2024-05-13 16:43:00, 51.0, 0%
2024-05-13 16:43:30, 49.9, 33.3%
2024-05-13 16:44:00, 50.5, 50%
2024-05-13 16:44:30, 49.9, 33.3%
2024-05-13 16:45:00, 49.9, 0%
2024-05-13 16:45:30, 51.0, 33.3%
2024-05-13 16:46:00, 51.0, 0%
2024-05-13 16:46:30, 49.9, 0%
2024-05-13 16:47:00, 50.5, 0%
2024-05-13 16:47:30, 51.0, 40%
2024-05-13 16:48:00, 49.9, 0%
2024-05-13 16:48:30, 51.0, 33.3%
2024-05-13 16:49:00, 49.9, 0%
2024-05-13 16:50:00, 50.5, 25%
2024-05-13 16:50:30, 50.5, 0%
2024-05-13 16:51:00, 49.4, 33.3%
2024-05-13 16:51:30, 50.5, 50%
2024-05-13 16:52:00, 51.0, 0%
2024-05-13 16:52:30, 51.0, 50%
2024-05-13 16:53:00, 50.5, 33.3%
2024-05-13 16:53:30, 50.5, 0%
2024-05-13 16:54:00, 50.5, 0%
2024-05-13 16:54:30, 50.5, 0%
2024-05-13 16:55:00, 50.5, 33.3%
2024-05-13 16:55:30, 51.0, 0%
2024-05-13 16:56:00, 51.0, 33.3%
2024-05-13 16:56:30, 49.9, 25%
2024-05-13 16:57:00, 50.5, 0%
