Month, Day, Time, Unit, Offset, Freq, Delay
May,13,16:05:27,phc2sys[217029]:,-19,-2121,982
May,13,16:05:27,phc2sys[217029]:,-8,-2116,1000
May,13,16:05:43,phc2sys[217036]:,476393,-2116,1037
May,13,16:05:44,phc2sys[217036]:,443335,-35171,981
May,13,16:05:45,phc2sys[217036]:,38147,+2976,981
May,13,16:05:46,phc2sys[217036]:,51796,+28069,1000
May,13,16:05:47,phc2sys[217036]:,45807,+37619,981
May,13,16:05:48,phc2sys[217036]:,28134,+33688,981
May,13,16:05:49,phc2sys[217036]:,8729,+22723,981
May,13,16:05:50,phc2sys[217036]:,-5658,+10955,1000
May,13,16:05:51,phc2sys[217036]:,-13455,+1460,999
May,13,16:05:52,phc2sys[217036]:,-147445,-136566,1000
May,13,16:05:53,phc2sys[217036]:,-358574,-391929,982
May,13,16:05:54,phc2sys[217036]:,-269404,-410331,1037
May,13,16:05:55,phc2sys[217036]:,44609,-177139,1037
May,13,16:05:56,phc2sys[217036]:,276719,+68354,982
May,13,16:05:57,phc2sys[217036]:,313821,+188471,981
May,13,16:05:58,phc2sys[217036]:,216440,+185237,981
May,13,16:05:59,phc2sys[217036]:,87552,+121281,982
May,13,16:06:00,phc2sys[217036]:,-9077,+50917,1000
May,13,16:06:01,phc2sys[217036]:,-55659,+1612,1037
May,13,16:06:02,phc2sys[217036]:,-62920,-22347,1037
May,13,16:06:03,phc2sys[217036]:,-49312,-27615,1000
May,13,16:06:04,phc2sys[217036]:,-28782,-21878,1000
May,13,16:06:05,phc2sys[217036]:,-11288,-13019,981
May,13,16:06:06,phc2sys[217036]:,-1806,-6923,1000
May,13,16:06:07,phc2sys[217036]:,1929,-3730,981
May,13,16:06:08,phc2sys[217036]:,2933,-2147,1037
May,13,16:06:09,phc2sys[217036]:,3384,-816,1037
May,13,16:06:10,phc2sys[217036]:,2464,-721,982
May,13,16:06:11,phc2sys[217036]:,940,-1506,1000
May,13,16:06:12,phc2sys[217036]:,100,-2064,982
May,13,16:06:13,phc2sys[217036]:,-316,-2450,982
May,13,16:06:14,phc2sys[217036]:,-256,-2485,982
