Month, Day, Time, Unit, Offset, Freq, Path_Delay
May,10,21:28:12,ptp4l[1195]:,-546,-48700,16924
May,10,21:28:26,ptp4l[1217]:,-263410,-48700,-1121
May,10,21:28:27,ptp4l[1217]:,-183839,+30863,-1121
May,10,21:28:28,ptp4l[1217]:,-2388,+28475,-1121
May,10,21:28:29,ptp4l[1217]:,-70043,-39896,13502
May,10,21:28:30,ptp4l[1217]:,-94656,-85522,13502
May,10,21:28:31,ptp4l[1217]:,-80388,-99651,13203
May,10,21:28:32,ptp4l[1217]:,-44170,-87549,10025
May,10,21:28:33,ptp4l[1217]:,-16212,-72842,10025
May,10,21:28:34,ptp4l[1217]:,1284,-60210,11346
May,10,21:28:35,ptp4l[1217]:,9425,-51684,12884
May,10,21:28:36,ptp4l[1217]:,10982,-47299,14177
May,10,21:28:37,ptp4l[1217]:,17716,-37270,13790
May,10,21:28:38,ptp4l[1217]:,164430,+114758,13790
May,10,21:28:39,ptp4l[1217]:,79685,+79342,15357
May,10,21:28:40,ptp4l[1217]:,-38418,-14855,15357
May,10,21:28:41,ptp4l[1217]:,-86666,-74629,15868
May,10,21:28:42,ptp4l[1217]:,-77495,-91457,15868
May,10,21:28:43,ptp4l[1217]:,-47068,-84279,15868
May,10,21:28:44,ptp4l[1217]:,-18684,-70015,15868
May,10,21:28:45,ptp4l[1217]:,-622,-57558,15868
May,10,21:28:46,ptp4l[1217]:,7263,-49860,15908
May,10,21:28:47,ptp4l[1217]:,8364,-46580,16278
May,10,21:28:48,ptp4l[1217]:,7015,-45420,16278
May,10,21:28:49,ptp4l[1217]:,4423,-45907,16471
May,10,21:28:50,ptp4l[1217]:,2475,-46529,16471
May,10,21:28:51,ptp4l[1217]:,793,-47468,16760
May,10,21:28:52,ptp4l[1217]:,73,-47950,16986
May,10,21:28:53,ptp4l[1217]:,30,-47971,16986
May,10,21:28:54,ptp4l[1217]:,16,-47976,16986
May,10,21:28:55,ptp4l[1217]:,48,-47939,16938
May,10,21:28:56,ptp4l[1217]:,-3,-47976,16927
May,10,21:28:57,ptp4l[1217]:,2,-47972,16919
May,10,21:28:58,ptp4l[1217]:,-30,-48003,16918
May,10,21:28:59,ptp4l[1217]:,-4,-47986,16918
May,10,21:29:00,ptp4l[1217]:,-30,-48014,16920
May,10,21:29:01,ptp4l[1217]:,-14,-48007,16920
May,10,21:29:02,ptp4l[1217]:,-37,-48034,16925
May,10,21:29:03,ptp4l[1217]:,-18,-48026,16925
May,10,21:29:04,ptp4l[1217]:,-60,-48073,16929
May,10,21:29:05,ptp4l[1217]:,7,-48024,16929
May,10,21:29:06,ptp4l[1217]:,-1,-48030,16929
May,10,21:29:07,ptp4l[1217]:,27,-48002,16929
May,10,21:29:08,ptp4l[1217]:,15,-48006,16928
May,10,21:29:09,ptp4l[1217]:,-10,-48027,16928
May,10,21:29:10,ptp4l[1217]:,-77,-48097,16928
May,10,21:29:11,ptp4l[1217]:,-4,-48047,16925
May,10,21:29:12,ptp4l[1217]:,-59,-48103,16925
May,10,21:29:13,ptp4l[1217]:,-3,-48065,16921
May,10,21:29:14,ptp4l[1217]:,-22,-48085,16921
May,10,21:29:15,ptp4l[1217]:,-10,-48079,16913
May,10,21:29:16,ptp4l[1217]:,-24,-48096,16913
May,10,21:29:17,ptp4l[1217]:,57,-48023,16909
May,10,21:29:18,ptp4l[1217]:,65,-47997,16909
May,10,21:29:19,ptp4l[1217]:,23,-48020,16911
May,10,21:29:20,ptp4l[1217]:,26,-48010,16913
May,10,21:29:21,ptp4l[1217]:,6,-48022,16913
May,10,21:29:22,ptp4l[1217]:,-3,-48029,16914
May,10,21:29:23,ptp4l[1217]:,-44,-48071,16916
May,10,21:29:24,ptp4l[1217]:,-30,-48071,16916
May,10,21:29:25,ptp4l[1217]:,9,-48041,16916
May,10,21:29:26,ptp4l[1217]:,-38,-48085,16914
May,10,21:29:27,ptp4l[1217]:,-132,-48190,16919
May,10,21:29:28,ptp4l[1217]:,-113,-48211,16919
May,10,21:29:29,ptp4l[1217]:,-59,-48191,16919
May,10,21:29:30,ptp4l[1217]:,-70,-48219,16919
May,10,21:29:31,ptp4l[1217]:,13,-48157,16914
May,10,21:29:32,ptp4l[1217]:,104,-48063,16914
May,10,21:29:33,ptp4l[1217]:,122,-48013,16913
May,10,21:29:34,ptp4l[1217]:,83,-48016,16913
May,10,21:29:35,ptp4l[1217]:,57,-48017,16916
May,10,21:29:36,ptp4l[1217]:,-19,-48076,16921
May,10,21:29:37,ptp4l[1217]:,29,-48033,16918
May,10,21:29:38,ptp4l[1217]:,-23,-48077,16921
May,10,21:29:39,ptp4l[1217]:,-58,-48119,16921
May,10,21:29:40,ptp4l[1217]:,1,-48077,16920
May,10,21:29:41,ptp4l[1217]:,-8,-48086,16920
May,10,21:29:42,ptp4l[1217]:,27,-48053,16922
May,10,21:29:43,ptp4l[1217]:,-4,-48076,16922
May,10,21:29:44,ptp4l[1217]:,-42,-48115,16926
