Month, Day, Time, Unit, Offset, Freq, Path_Delay
May,11,02:28:49,ptp4l[1548]:,-100,-48200,16905
May,11,02:29:03,ptp4l[1650]:,-1733436,-48200,16869
May,11,02:29:04,ptp4l[1650]:,-1733261,-48025,16869
May,11,02:29:05,ptp4l[1650]:,23,-48002,16869
May,11,02:29:06,ptp4l[1650]:,-11,-48029,16869
May,11,02:29:07,ptp4l[1650]:,-75,-48096,16888
May,11,02:29:08,ptp4l[1650]:,-31,-48075,16893
May,11,02:29:09,ptp4l[1650]:,4,-48049,16892
May,11,02:29:10,ptp4l[1650]:,40,-48012,16893
May,11,02:29:11,ptp4l[1650]:,13,-48027,16897
May,11,02:29:12,ptp4l[1650]:,-10,-48046,16902
May,11,02:29:13,ptp4l[1650]:,45295,-2744,16901
May,11,02:29:14,ptp4l[1650]:,1418564,+1384113,16901
May,11,02:29:15,ptp4l[1650]:,695305,+1086424,16901
May,11,02:29:16,ptp4l[1650]:,-357795,+241915,16901
May,11,02:29:17,ptp4l[1650]:,-778547,-286175,16904
May,11,02:29:18,ptp4l[1650]:,-695629,-436821,16901
May,11,02:29:19,ptp4l[1650]:,-422773,-372654,16901
May,11,02:29:20,ptp4l[1650]:,-161483,-238196,10833
May,11,02:29:21,ptp4l[1650]:,-5951,-131109,10833
May,11,02:29:22,ptp4l[1650]:,70137,-56806,3934
May,11,02:29:23,ptp4l[1650]:,69742,-36160,9584
May,11,02:29:24,ptp4l[1650]:,58555,-26425,9584
May,11,02:29:25,ptp4l[1650]:,36572,-30841,11621
May,11,02:29:26,ptp4l[1650]:,20831,-35610,11621
May,11,02:29:27,ptp4l[1650]:,6132,-44060,14883
May,11,02:29:28,ptp4l[1650]:,2704,-45649,14883
May,11,02:29:29,ptp4l[1650]:,-1771,-49312,17137
May,11,02:29:30,ptp4l[1650]:,-445,-48518,17137
May,11,02:29:31,ptp4l[1650]:,-7,-48213,17137
May,11,02:29:32,ptp4l[1650]:,92,-48116,17137
May,11,02:29:33,ptp4l[1650]:,51,-48130,17142
May,11,02:29:34,ptp4l[1650]:,11,-48154,17146
May,11,02:29:35,ptp4l[1650]:,88,-48074,17146
May,11,02:29:36,ptp4l[1650]:,320,-47816,16911
May,11,02:29:37,ptp4l[1650]:,82,-47958,16911
May,11,02:29:38,ptp4l[1650]:,-28,-48043,16911
May,11,02:29:39,ptp4l[1650]:,-37,-48060,16907
May,11,02:29:40,ptp4l[1650]:,-26,-48061,16907
May,11,02:29:41,ptp4l[1650]:,-58,-48100,16907
May,11,02:29:42,ptp4l[1650]:,8,-48052,16903
May,11,02:29:43,ptp4l[1650]:,-17,-48074,16907
May,11,02:29:44,ptp4l[1650]:,21,-48041,16907
May,11,02:29:45,ptp4l[1650]:,9,-48047,16907
May,11,02:29:46,ptp4l[1650]:,-4,-48057,16906
May,11,02:29:47,ptp4l[1650]:,52,-48003,16906
May,11,02:29:48,ptp4l[1650]:,9,-48030,16907
May,11,02:29:49,ptp4l[1650]:,28,-48008,16906
May,11,02:29:50,ptp4l[1650]:,13,-48015,16906
May,11,02:29:51,ptp4l[1650]:,14,-48010,16906
May,11,02:29:52,ptp4l[1650]:,21,-47999,16906
May,11,02:29:53,ptp4l[1650]:,-9,-48023,16907
May,11,02:29:54,ptp4l[1650]:,-109,-48125,16909
May,11,02:29:55,ptp4l[1650]:,-144,-48193,16909
May,11,02:29:56,ptp4l[1650]:,-103,-48195,16909
May,11,02:29:57,ptp4l[1650]:,-75,-48198,16907
May,11,02:29:58,ptp4l[1650]:,-44,-48190,16907
May,11,02:29:59,ptp4l[1650]:,32,-48127,16907
May,11,02:30:00,ptp4l[1650]:,0,-48149,16909
May,11,02:30:01,ptp4l[1650]:,84,-48065,16909
May,11,02:30:02,ptp4l[1650]:,41,-48083,16911
May,11,02:30:03,ptp4l[1650]:,20,-48092,16911
May,11,02:30:04,ptp4l[1650]:,20,-48086,16910
May,11,02:30:05,ptp4l[1650]:,42,-48058,16910
May,11,02:30:06,ptp4l[1650]:,3,-48084,16910
May,11,02:30:07,ptp4l[1650]:,-8,-48094,16910
May,11,02:30:08,ptp4l[1650]:,-10,-48099,16910
May,11,02:30:09,ptp4l[1650]:,24,-48068,16902
May,11,02:30:10,ptp4l[1650]:,27,-48057,16902
May,11,02:30:11,ptp4l[1650]:,-18,-48094,16902
May,11,02:30:12,ptp4l[1650]:,-34,-48116,16904
May,11,02:30:13,ptp4l[1650]:,8,-48084,16904
May,11,02:30:14,ptp4l[1650]:,-58,-48147,16904
May,11,02:30:15,ptp4l[1650]:,6,-48101,16900
May,11,02:30:16,ptp4l[1650]:,37,-48068,16897
May,11,02:30:17,ptp4l[1650]:,-42,-48136,16901
May,11,02:30:18,ptp4l[1650]:,32,-48075,16897
May,11,02:30:19,ptp4l[1650]:,10,-48087,16897
May,11,02:30:20,ptp4l[1650]:,45,-48049,16898
May,11,02:30:21,ptp4l[1650]:,-16,-48096,16898
May,11,02:30:22,ptp4l[1650]:,13,-48072,16898
May,11,02:30:23,ptp4l[1650]:,-70,-48151,16908
May,11,02:30:24,ptp4l[1650]:,-12,-48114,16908
May,11,02:30:25,ptp4l[1650]:,31,-48075,16908
May,11,02:30:26,ptp4l[1650]:,0,-48097,16911
May,11,02:30:27,ptp4l[1650]:,70,-48027,16911
May,11,02:30:28,ptp4l[1650]:,-21,-48097,16921
May,11,02:30:29,ptp4l[1650]:,-42,-48124,16921
May,11,02:30:30,ptp4l[1650]:,32,-48063,16920
May,11,02:30:31,ptp4l[1650]:,46,-48039,16913
May,11,02:30:32,ptp4l[1650]:,-45,-48116,16908
May,11,02:30:33,ptp4l[1650]:,22,-48063,16904
May,11,02:30:34,ptp4l[1650]:,42,-48036,16904
May,11,02:30:35,ptp4l[1650]:,-8,-48073,16904
May,11,02:30:36,ptp4l[1650]:,24,-48044,16904
May,11,02:30:37,ptp4l[1650]:,-23,-48084,16906
May,11,02:30:38,ptp4l[1650]:,4,-48064,16906
May,11,02:30:39,ptp4l[1650]:,-43,-48109,16906
May,11,02:30:40,ptp4l[1650]:,31,-48048,16906
May,11,02:30:41,ptp4l[1650]:,25,-48045,16906
May,11,02:30:42,ptp4l[1650]:,-3,-48065,16910
May,11,02:30:43,ptp4l[1650]:,50,-48013,16910
May,11,02:30:44,ptp4l[1650]:,29,-48019,16906
May,11,02:30:45,ptp4l[1650]:,11,-48029,16906
May,11,02:30:46,ptp4l[1650]:,-13,-48049,16903
May,11,02:30:47,ptp4l[1650]:,-20,-48060,16903
May,11,02:30:48,ptp4l[1650]:,-16,-48062,16903
May,11,02:30:49,ptp4l[1650]:,32,-48019,16906
May,11,02:30:50,ptp4l[1650]:,189,-47852,16906
